Judge,Candidate.Chosen,Candidate.Not.Chosen,group
508,53,221,expert1
606,53,221,novice
97,53,227,peer1
505,55,20,expert2
507,55,35,expert2
606,55,38,novice
605,55,45,novice
711,55,46,expert1
603,55,46,novice
605,55,46,novice
7,55,46,peer2
89,55,57,peer2
715,55,69,expert2
506,55,79,expert1
508,55,89,expert1
509,55,89,expert2
501,55,92,expert1
603,55,99,novice
609,55,99,novice
713,55,105,expert1
502,55,114,expert1
508,55,114,expert1
184,55,125,peer2
154,55,132,peer1
79,55,134,peer2
606,55,137,novice
154,55,141,peer1
41,55,143,peer2
79,55,149,peer2
701,55,153,expert2
508,55,154,expert1
122,55,157,peer1
4,55,164,peer2
601,55,182,novice
128,55,194,peer1
225,55,194,peer1
506,55,199,expert1
509,55,201,expert2
140,55,203,peer1
229,55,203,peer1
131,55,209,peer2
128,55,212,peer1
715,55,215,expert2
501,55,216,expert1
605,55,216,novice
509,55,220,expert2
506,55,221,expert1
508,56,3,expert1
503,56,3,expert2
130,56,4,peer1
706,56,8,expert2
137,56,23,peer1
503,56,32,expert2
708,56,47,expert1
508,56,64,expert1
503,56,64,expert2
706,56,69,expert2
609,56,72,novice
212,56,73,peer2
190,56,75,peer1
93,56,79,peer2
508,56,92,expert1
508,56,97,expert1
506,56,103,expert1
36,56,105,peer2
188,56,109,peer2
104,56,115,peer1
24,56,116,peer1
47,56,122,peer1
197,56,122,peer2
503,56,125,expert2
601,56,131,novice
211,56,131,peer1
212,56,132,peer2
602,56,136,novice
98,56,137,peer2
506,56,141,expert1
508,56,141,expert1
211,56,149,peer1
708,56,151,expert1
603,56,152,novice
4,56,152,peer2
36,56,154,peer2
170,56,155,peer1
111,56,171,peer1
607,56,176,novice
609,56,176,novice
602,56,179,novice
703,56,205,expert2
701,56,209,expert2
54,56,217,peer2
608,56,220,novice
608,56,225,novice
175,56,226,peer2
173,56,227,peer2
703,56,229,expert2
40,57,7,peer2
715,57,20,expert2
79,57,22,peer2
502,57,31,expert1
139,57,76,peer1
25,57,90,peer1
710,57,94,expert1
706,57,94,expert2
609,57,94,novice
205,57,95,peer2
77,57,120,peer2
53,57,125,peer2
508,57,136,expert1
601,57,159,novice
608,57,179,novice
606,57,189,novice
506,57,190,expert1
714,57,193,expert2
715,57,193,expert2
606,57,202,novice
508,57,203,expert1
609,57,208,novice
133,57,208,peer1
505,57,210,expert2
126,57,210,peer1
8,57,211,peer1
227,57,211,peer1
501,57,220,expert1
184,58,7,peer2
607,58,21,novice
501,58,38,expert1
714,58,43,expert2
715,58,52,expert2
711,58,75,expert1
508,58,76,expert1
609,58,86,novice
601,58,91,novice
602,58,92,novice
604,58,92,novice
605,58,103,novice
503,58,105,expert2
609,58,116,novice
507,58,119,expert2
707,58,120,expert2
606,58,121,novice
507,58,142,expert2
606,58,143,novice
59,58,159,peer2
508,58,163,expert1
138,58,175,peer2
73,58,179,peer1
109,58,187,peer1
31,58,189,peer1
216,58,193,peer1
503,58,205,expert2
508,58,206,expert1
508,58,209,expert1
183,58,212,peer2
711,58,216,expert1
701,58,217,expert2
59,58,217,peer2
707,58,220,expert2
508,63,3,expert1
215,63,3,peer1
197,63,4,peer2
88,63,6,peer2
608,63,8,novice
507,63,26,expert2
606,63,30,novice
608,63,33,novice
505,63,36,expert2
509,63,36,expert2
603,63,46,novice
221,63,52,peer1
704,63,53,expert1
609,63,55,novice
502,63,56,expert1
507,63,56,expert2
88,63,58,peer2
502,63,64,expert1
156,63,65,peer1
713,63,70,expert1
704,63,90,expert1
186,63,97,peer2
602,63,99,novice
196,63,108,peer2
184,63,108,peer2
72,63,109,peer1
70,63,109,peer2
180,63,110,peer1
168,63,114,peer1
506,63,115,expert1
606,63,119,novice
20,63,122,peer1
115,63,126,peer2
62,63,135,peer2
95,63,136,peer1
601,63,137,novice
508,63,155,expert1
702,63,157,expert1
705,63,163,expert2
509,63,167,expert2
101,63,168,peer2
601,63,170,novice
508,63,171,expert1
607,63,171,novice
176,63,181,peer1
208,63,182,peer2
508,63,195,expert1
507,63,195,expert2
707,63,198,expert2
230,63,201,peer2
151,63,205,peer1
46,63,205,peer1
707,63,206,expert2
36,63,218,peer2
701,63,220,expert2
196,63,228,peer2
215,63,229,peer1
602,64,4,novice
604,64,6,novice
169,64,6,peer2
509,64,21,expert2
208,64,26,peer2
180,64,32,peer1
508,64,33,expert1
503,64,36,expert2
707,64,43,expert2
207,64,63,peer1
62,64,69,peer2
701,64,71,expert2
608,64,73,novice
32,64,77,peer1
715,64,92,expert2
189,64,97,peer1
605,64,105,novice
50,64,114,peer1
505,64,116,expert2
150,64,119,peer1
214,64,119,peer2
508,64,122,expert1
507,64,122,expert2
602,64,128,novice
509,64,141,expert2
187,64,144,peer1
713,64,147,expert1
208,64,151,peer2
713,64,163,expert1
186,64,164,peer2
601,64,169,novice
180,64,169,peer1
506,64,171,expert1
214,64,179,peer2
32,64,181,peer1
55,64,182,peer1
79,64,184,peer2
505,64,190,expert2
710,64,193,expert1
508,64,195,expert1
608,64,198,novice
55,64,207,peer1
182,64,207,peer1
715,64,219,expert2
605,64,228,novice
501,65,6,expert1
506,65,6,expert1
506,65,26,expert1
156,65,27,peer1
25,65,29,peer1
60,65,35,peer2
161,65,35,peer2
48,65,36,peer1
73,65,36,peer1
505,65,53,expert2
605,65,56,novice
704,65,64,expert1
608,65,72,novice
609,65,72,novice
607,65,73,novice
184,65,75,peer2
240,65,78,peer2
31,65,79,peer1
135,65,79,peer2
502,65,92,expert1
502,65,93,expert1
106,65,110,peer2
73,65,136,peer1
48,65,142,peer1
707,65,147,expert2
96,65,147,peer1
604,65,149,novice
602,65,176,novice
164,65,176,peer2
161,65,180,peer2
601,65,184,novice
505,65,201,expert2
506,65,210,expert1
27,65,213,peer2
604,65,220,novice
507,65,221,expert2
509,65,221,expert2
509,65,221,expert2
121,65,227,peer1
506,65,228,expert1
507,69,24,expert2
24,69,30,peer1
159,69,41,peer1
702,69,44,expert1
704,69,46,expert1
508,69,47,expert1
503,69,52,expert2
507,69,52,expert2
509,69,52,expert2
502,69,53,expert1
709,69,71,expert1
26,69,75,peer1
131,69,76,peer2
197,69,91,peer2
609,69,111,novice
603,69,112,novice
704,69,125,expert1
182,69,135,peer1
159,69,140,peer1
507,69,146,expert2
606,69,148,novice
168,69,148,peer1
501,69,194,expert1
98,69,202,peer2
605,69,208,novice
606,69,210,novice
181,69,210,peer1
144,69,211,peer2
606,69,212,novice
508,69,213,expert1
507,69,228,expert2
87,70,25,peer2
38,70,25,peer2
503,70,31,expert2
54,70,33,peer2
210,70,48,peer1
609,70,50,novice
507,70,57,expert2
185,70,69,peer1
605,70,75,novice
609,70,75,novice
228,70,88,peer1
34,70,90,peer2
195,70,93,peer1
607,70,104,novice
503,70,112,expert2
77,70,113,peer2
713,70,116,expert1
142,70,128,peer2
203,70,128,peer2
508,70,130,expert1
602,70,130,novice
175,70,132,peer2
35,70,135,peer1
506,70,154,expert1
502,70,187,expert1
201,70,189,peer2
71,70,190,peer1
710,70,191,expert1
607,70,209,novice
605,70,219,novice
195,70,219,peer1
191,70,219,peer1
507,70,227,expert2
701,70,229,expert2
706,71,26,expert2
602,71,31,novice
94,71,36,peer2
604,71,38,novice
230,71,38,peer2
1,71,43,peer2
53,71,44,peer2
1,71,44,peer2
607,71,47,novice
608,71,48,novice
609,71,48,novice
507,71,52,expert2
148,71,55,peer1
507,71,63,expert2
501,71,70,expert1
506,71,73,expert1
170,71,73,peer1
94,71,76,peer2
714,71,88,expert2
502,71,95,expert1
602,71,103,novice
104,71,103,peer1
174,71,115,peer2
505,71,120,expert2
170,71,125,peer1
509,71,130,expert2
705,71,132,expert2
503,71,135,expert2
48,71,142,peer1
98,71,175,peer2
158,71,176,peer1
164,71,203,peer2
703,71,207,expert2
714,71,212,expert2
122,71,212,peer1
508,71,218,expert1
507,71,219,expert2
508,71,224,expert1
605,72,2,novice
715,72,24,expert2
508,72,36,expert1
98,72,37,peer2
187,72,39,peer1
507,72,40,expert2
507,72,43,expert2
701,72,45,expert2
704,72,46,expert1
509,72,49,expert2
106,72,52,peer2
501,72,53,expert1
603,72,65,novice
98,72,69,peer2
502,72,74,expert1
130,72,77,peer1
92,72,79,peer1
508,72,86,expert1
507,72,86,expert2
715,72,86,expert2
507,72,95,expert2
713,72,96,expert1
104,72,96,peer1
42,72,102,peer2
702,72,105,expert1
604,72,109,novice
148,72,115,peer1
509,72,116,expert2
609,72,124,novice
501,72,130,expert1
509,72,135,expert2
509,72,135,expert2
601,72,135,novice
714,72,136,expert2
506,72,144,expert1
104,72,145,peer1
605,72,146,novice
713,72,152,expert1
706,72,152,expert2
704,72,170,expert1
503,72,170,expert2
604,72,176,novice
185,72,176,peer1
106,72,180,peer2
602,72,182,novice
224,72,191,peer2
508,72,201,expert1
54,72,205,peer2
508,72,208,expert1
77,72,219,peer2
505,72,229,expert2
703,73,4,expert2
125,73,23,peer1
602,73,40,novice
711,73,50,expert1
508,73,69,expert1
505,73,70,expert2
501,73,71,expert1
507,73,71,expert2
503,73,74,expert2
505,73,77,expert2
501,73,79,expert1
506,73,87,expert1
604,73,90,novice
706,73,97,expert2
93,73,99,peer2
509,73,103,expert2
36,73,103,peer2
212,73,112,peer2
502,73,114,expert1
508,73,116,expert1
61,73,126,peer1
503,73,130,expert2
108,73,134,peer1
602,73,135,novice
710,73,141,expert1
508,73,143,expert1
710,73,144,expert1
150,73,146,peer1
122,73,147,peer1
603,73,149,novice
706,73,151,expert2
29,73,152,peer1
36,73,154,peer2
714,73,169,expert2
603,73,169,novice
604,73,193,novice
602,73,198,novice
702,73,213,expert1
505,73,219,expert2
509,73,219,expert2
188,73,219,peer2
143,73,220,peer2
507,73,227,expert2
76,73,227,peer2
508,73,229,expert1
703,73,230,expert2
601,73,230,novice
197,73,230,peer2
70,74,8,peer2
224,74,22,peer2
701,74,27,expert2
54,74,28,peer2
94,74,37,peer2
601,74,39,novice
508,74,40,expert1
219,74,46,peer1
507,74,49,expert2
604,74,52,novice
706,74,63,expert2
608,74,65,novice
609,74,65,novice
509,74,70,expert2
505,74,71,expert2
503,74,72,expert2
505,74,72,expert2
173,74,73,peer2
713,74,78,expert1
207,74,87,peer1
168,74,88,peer1
77,74,95,peer2
149,74,99,peer2
172,74,105,peer1
158,74,115,peer1
701,74,122,expert2
501,74,126,expert1
502,74,135,expert1
3,74,147,peer1
607,74,152,novice
508,74,167,expert1
608,74,168,novice
135,74,169,peer2
149,74,175,peer2
182,74,180,peer1
602,74,181,novice
507,74,182,expert2
44,74,199,peer2
130,74,211,peer1
182,74,215,peer1
222,74,217,peer1
604,74,220,novice
508,74,224,expert1
508,74,230,expert1
706,74,230,expert2
134,75,2,peer1
186,75,3,peer2
609,75,28,novice
131,75,36,peer2
715,75,38,expert2
62,75,43,peer2
229,75,76,peer1
136,75,87,peer2
122,75,99,peer1
608,75,110,novice
609,75,110,novice
505,75,111,expert2
505,75,112,expert2
607,75,112,novice
703,75,120,expert2
714,75,128,expert2
160,75,128,peer1
603,75,130,novice
49,75,130,peer1
184,75,132,peer2
503,75,137,expert2
506,75,144,expert1
703,75,144,expert2
506,75,189,expert1
710,75,189,expert1
134,75,191,peer1
702,75,193,expert1
183,75,206,peer2
501,75,207,expert1
505,75,208,expert2
501,75,210,expert1
503,75,211,expert2
605,75,212,novice
509,75,213,expert2
603,75,214,novice
506,75,219,expert1
715,75,221,expert2
136,75,223,peer2
608,76,2,novice
501,76,3,expert1
503,76,3,expert2
508,76,6,expert1
6,76,7,peer1
508,76,38,expert1
21,76,49,peer2
503,76,78,expert2
229,76,79,peer1
105,76,88,peer2
603,76,89,novice
703,76,90,expert2
602,76,91,novice
506,76,102,expert1
121,76,105,peer1
603,76,113,novice
713,76,114,expert1
221,76,124,peer1
199,76,124,peer1
202,76,130,peer2
505,76,143,expert2
506,76,145,expert1
199,76,153,peer1
65,76,154,peer2
709,76,157,expert1
703,76,163,expert2
21,76,163,peer2
50,76,175,peer1
705,76,176,expert2
605,76,200,novice
92,76,200,peer1
501,76,205,expert1
195,76,206,peer1
195,76,208,peer1
508,76,209,expert1
605,76,209,novice
701,76,218,expert2
705,76,219,expert2
708,76,224,expert1
706,76,230,expert2
143,76,230,peer2
505,77,6,expert2
506,77,24,expert1
31,77,27,peer1
174,77,29,peer2
709,77,31,expert1
39,77,33,peer1
130,77,34,peer1
601,77,36,novice
701,77,47,expert2
713,77,48,expert1
93,77,48,peer2
604,77,50,novice
605,77,53,novice
705,77,56,expert2
507,77,65,expert2
507,77,70,expert2
507,77,71,expert2
39,77,86,peer1
703,77,87,expert2
603,77,88,novice
502,77,93,expert1
202,77,94,peer2
503,77,95,expert2
702,77,99,expert1
123,77,105,peer2
211,77,121,peer1
190,77,121,peer1
123,77,121,peer2
92,77,124,peer1
509,77,130,expert2
211,77,131,peer1
143,77,131,peer2
152,77,131,peer2
174,77,141,peer2
503,77,151,expert2
507,77,154,expert2
137,77,159,peer1
125,77,168,peer1
606,77,171,novice
710,77,175,expert1
706,77,182,expert2
62,77,184,peer2
501,77,187,expert1
715,77,190,expert2
508,77,193,expert1
186,77,193,peer2
502,77,201,expert1
602,77,207,novice
52,77,209,peer2
603,77,214,novice
605,77,221,novice
508,77,224,expert1
78,77,224,peer1
509,77,226,expert2
508,77,227,expert1
32,77,229,peer1
35,77,230,peer1
47,78,3,peer1
507,78,7,expert2
227,78,21,peer1
8,78,21,peer1
711,78,27,expert1
608,78,27,novice
606,78,28,novice
116,78,29,peer1
508,78,37,expert1
507,78,37,expert2
47,78,41,peer1
116,78,41,peer1
702,78,53,expert1
61,78,53,peer1
508,78,58,expert1
707,78,70,expert2
609,78,76,novice
609,78,88,novice
709,78,94,expert1
506,78,104,expert1
603,78,111,novice
40,78,112,peer2
608,78,130,novice
97,78,134,peer1
40,78,140,peer2
606,78,144,novice
33,78,164,peer1
604,78,179,novice
214,78,179,peer2
24,78,184,peer1
214,78,184,peer2
604,78,190,novice
707,78,191,expert2
711,78,195,expert1
508,78,209,expert1
65,78,210,peer2
606,78,214,novice
713,78,230,expert1
205,79,7,peer2
508,79,29,expert1
507,79,30,expert2
603,79,30,novice
605,79,30,novice
604,79,36,novice
607,79,36,novice
702,79,43,expert1
607,79,43,novice
26,79,76,peer1
192,79,91,peer1
604,79,93,novice
505,79,94,expert2
49,79,99,peer1
159,79,99,peer1
714,79,112,expert2
502,79,132,expert1
189,79,164,peer1
502,79,184,expert1
502,79,194,expert1
507,79,194,expert2
509,79,194,expert2
705,79,210,expert2
40,79,210,peer2
98,79,213,peer2
192,79,216,peer1
509,86,6,expert2
609,86,21,novice
710,86,22,expert1
186,86,26,peer2
601,86,27,novice
51,86,27,peer1
506,86,28,expert1
42,86,32,peer2
156,86,40,peer1
20,86,63,peer1
502,86,69,expert1
606,86,70,novice
503,86,71,expert2
706,86,72,expert2
226,86,73,peer2
121,86,74,peer1
6,86,90,peer1
123,86,91,peer2
508,86,94,expert1
711,86,96,expert1
507,86,96,expert2
715,86,96,expert2
143,86,96,peer2
112,86,97,peer1
112,86,97,peer1
506,86,99,expert1
506,86,103,expert1
226,86,103,peer2
4,86,110,peer2
501,86,112,expert1
702,86,121,expert1
507,86,124,expert2
509,86,124,expert2
196,86,124,peer2
502,86,126,expert1
605,86,126,novice
189,86,126,peer1
710,86,131,expert1
606,86,140,novice
32,86,141,peer1
709,86,144,expert1
204,86,145,peer2
228,86,149,peer1
704,86,152,expert1
711,86,154,expert1
704,86,155,expert1
77,86,157,peer2
503,86,167,expert2
508,86,176,expert1
605,86,181,novice
123,86,182,peer2
501,86,190,expert1
507,86,190,expert2
42,86,201,peer2
505,86,202,expert2
112,86,205,peer1
604,86,211,novice
603,86,218,novice
607,86,219,novice
603,86,223,novice
602,86,226,novice
51,86,230,peer1
607,87,8,novice
78,87,21,peer1
608,87,29,novice
508,87,31,expert1
602,87,36,novice
509,87,46,expert2
191,87,70,peer1
114,87,75,peer2
94,87,76,peer2
506,87,90,expert1
605,87,90,novice
188,87,92,peer2
152,87,95,peer2
502,87,99,expert1
711,87,103,expert1
713,87,103,expert1
705,87,103,expert2
65,87,103,peer2
607,87,104,novice
156,87,105,peer1
701,87,108,expert2
506,87,112,expert1
94,87,116,peer2
711,87,124,expert1
606,87,137,novice
132,87,143,peer1
502,87,144,expert1
508,87,147,expert1
503,87,157,expert2
702,87,169,expert1
507,87,180,expert2
156,87,182,peer1
501,87,184,expert1
601,87,191,novice
25,87,193,peer1
506,87,194,expert1
167,87,194,peer2
605,87,199,novice
191,87,214,peer1
706,87,226,expert2
606,88,2,novice
36,88,23,peer2
505,88,28,expert2
195,88,28,peer1
715,88,34,expert2
224,88,34,peer2
151,88,38,peer1
119,88,53,peer1
34,88,69,peer2
703,88,71,expert2
181,88,75,peer1
509,88,79,expert2
506,88,91,expert1
136,88,91,peer2
86,88,92,peer1
502,88,99,expert1
605,88,111,novice
508,88,112,expert1
507,88,112,expert2
606,88,112,novice
175,88,123,peer2
36,88,125,peer2
506,88,134,expert1
715,88,134,expert2
505,88,144,expert2
703,88,148,expert2
609,88,194,novice
507,88,199,expert2
65,88,199,peer2
44,88,199,peer2
508,88,200,expert1
114,88,205,peer2
502,88,206,expert1
607,88,207,novice
95,88,208,peer1
507,88,216,expert2
506,88,217,expert1
507,88,217,expert2
204,88,217,peer2
502,88,219,expert1
181,88,219,peer1
707,88,221,expert2
606,88,221,novice
509,88,223,expert2
141,88,228,peer2
509,89,2,expert2
602,89,22,novice
213,89,32,peer2
706,89,37,expert2
505,89,55,expert2
88,89,55,peer2
135,89,65,peer2
198,89,76,peer1
109,89,79,peer1
508,89,90,expert1
505,89,90,expert2
507,89,91,expert2
701,89,102,expert2
24,89,116,peer1
509,89,120,expert2
507,89,128,expert2
502,89,132,expert1
606,89,134,novice
142,89,148,peer2
706,89,149,expert2
95,89,164,peer1
606,89,184,novice
502,89,193,expert1
138,89,210,peer2
609,89,213,novice
703,89,216,expert2
606,89,219,novice
708,89,220,expert1
194,89,229,peer2
213,89,230,peer2
509,90,20,expert2
503,90,29,expert2
707,90,34,expert2
213,90,41,peer2
602,90,48,novice
209,90,58,peer2
505,90,89,expert2
607,90,89,novice
3,90,91,peer1
503,90,94,expert2
601,90,103,novice
713,90,109,expert1
1,90,111,peer2
507,90,113,expert2
502,90,128,expert1
701,90,132,expert2
704,90,147,expert1
63,90,151,peer1
1,90,157,peer2
91,90,189,peer1
223,90,206,peer1
108,90,206,peer1
507,90,211,expert2
506,90,214,expert1
102,90,223,peer2
34,90,223,peer2
707,90,227,expert2
213,90,229,peer2
141,91,4,peer2
606,91,30,novice
608,91,30,novice
128,91,43,peer1
714,91,102,expert2
702,91,112,expert1
226,91,112,peer2
708,91,128,expert1
240,91,140,peer2
6,91,144,peer1
603,91,157,novice
605,91,163,novice
112,91,193,peer1
502,91,206,expert1
507,91,206,expert2
226,91,207,peer2
69,91,212,peer1
708,91,214,expert1
188,91,219,peer2
185,92,7,peer1
506,92,28,expert1
715,92,34,expert2
601,92,48,novice
222,92,53,peer1
607,92,55,novice
120,92,65,peer2
44,92,88,peer2
160,92,89,peer1
189,92,95,peer1
506,92,99,expert1
152,92,112,peer2
139,92,116,peer1
603,92,121,novice
188,92,123,peer2
605,92,126,novice
705,92,134,expert2
603,92,143,novice
96,92,147,peer1
97,92,147,peer1
704,92,149,expert1
93,92,167,peer2
120,92,170,peer2
605,92,180,novice
44,92,187,peer2
608,92,193,novice
608,92,203,novice
707,92,206,expert2
506,92,211,expert1
704,92,212,expert1
57,92,213,peer2
509,92,216,expert2
703,92,217,expert2
134,92,223,peer1
61,92,227,peer1
608,93,2,novice
189,93,24,peer1
608,93,37,novice
122,93,43,peer1
28,93,49,peer2
603,93,69,novice
606,93,69,novice
714,93,79,expert2
605,93,79,novice
505,93,87,expert2
508,93,89,expert1
503,93,92,expert2
506,93,99,expert1
606,93,111,novice
602,93,120,novice
509,93,136,expert2
151,93,143,peer1
705,93,144,expert2
508,93,148,expert1
86,93,148,peer1
124,93,148,peer2
215,93,154,peer1
501,93,157,expert1
701,93,157,expert2
606,93,164,novice
148,93,181,peer1
37,93,184,peer2
44,93,187,peer2
37,93,190,peer2
707,93,194,expert2
506,93,198,expert1
149,93,208,peer2
57,93,208,peer2
28,93,208,peer2
604,93,210,novice
508,93,211,expert1
603,93,216,novice
54,93,219,peer2
706,93,220,expert2
508,94,28,expert1
508,94,29,expert1
509,94,29,expert2
87,94,58,peer2
86,94,111,peer1
144,94,157,peer2
609,94,163,novice
710,94,164,expert1
509,94,179,expert2
608,94,202,novice
91,94,202,peer1
184,94,202,peer2
507,94,213,expert2
601,94,217,novice
509,95,6,expert2
604,95,8,novice
605,95,8,novice
79,95,22,peer2
194,95,39,peer2
605,95,46,novice
608,95,46,novice
711,95,53,expert1
222,95,58,peer1
160,95,75,peer1
711,95,90,expert1
160,95,92,peer1
50,95,104,peer1
506,95,112,expert1
505,95,114,expert2
181,95,114,peer1
609,95,115,novice
602,95,119,novice
707,95,120,expert2
51,95,121,peer1
32,95,125,peer1
507,95,130,expert2
146,95,145,peer1
708,95,146,expert1
707,95,146,expert2
509,95,151,expert2
508,95,154,expert1
4,95,157,peer2
202,95,159,peer2
3,95,181,peer1
28,95,184,peer2
506,95,187,expert1
205,95,187,peer2
183,95,191,peer2
24,95,210,peer1
506,95,216,expert1
508,96,2,expert1
507,96,4,expert2
172,96,6,peer1
509,96,21,expert2
186,96,22,peer2
505,96,26,expert2
208,96,26,peer2
507,96,32,expert2
507,96,36,expert2
509,96,36,expert2
710,96,40,expert1
602,96,70,novice
706,96,86,expert2
56,96,87,peer1
70,96,89,peer2
185,96,91,peer1
149,96,92,peer2
607,96,97,novice
187,96,99,peer1
223,96,104,peer1
601,96,105,novice
56,96,105,peer1
184,96,105,peer2
502,96,108,expert1
709,96,110,expert1
93,96,111,peer2
706,96,115,expert2
509,96,125,expert2
706,96,125,expert2
606,96,125,novice
506,96,130,expert1
702,96,130,expert1
503,96,131,expert2
140,96,134,peer1
212,96,134,peer2
702,96,137,expert1
506,96,143,expert1
228,96,149,peer1
711,96,152,expert1
601,96,153,novice
204,96,154,peer2
508,96,169,expert1
503,96,170,expert2
509,96,171,expert2
508,96,175,expert1
506,96,190,expert1
502,96,192,expert1
142,96,215,peer2
601,96,227,novice
121,97,6,peer1
153,97,26,peer1
503,97,32,expert2
707,97,35,expert2
507,97,39,expert2
148,97,39,peer1
706,97,40,expert2
601,97,43,novice
125,97,44,peer1
102,97,44,peer2
508,97,45,expert1
713,97,56,expert1
705,97,56,expert2
503,97,63,expert2
713,97,69,expert1
709,97,90,expert1
708,97,95,expert1
506,97,103,expert1
219,97,105,peer1
602,97,108,novice
507,97,122,expert2
220,97,125,peer2
708,97,136,expert1
506,97,151,expert1
4,97,167,peer2
509,97,169,expert2
503,97,171,expert2
194,97,171,peer2
2,97,176,peer2
508,97,179,expert1
505,97,191,expert2
508,97,192,expert1
146,97,192,peer1
609,97,199,novice
42,97,201,peer2
710,97,214,expert1
602,97,215,novice
707,97,218,expert2
602,97,223,novice
603,97,223,novice
609,97,223,novice
25,97,228,peer1
509,99,7,expert2
128,99,7,peer1
110,99,30,peer1
608,99,33,novice
715,99,36,expert2
609,99,46,novice
34,99,69,peer2
197,99,78,peer2
192,99,94,peer1
602,99,95,novice
169,99,120,peer2
601,99,142,novice
502,99,144,expert1
508,99,144,expert1
120,99,152,peer2
715,99,159,expert2
128,99,184,peer1
709,99,193,expert1
149,99,195,peer2
228,99,199,peer1
714,99,207,expert2
53,99,217,peer2
1,99,217,peer2
508,99,223,expert1
601,99,229,novice
608,99,230,novice
606,102,24,novice
96,102,34,peer1
704,102,41,expert1
603,102,49,novice
608,102,49,novice
501,102,58,expert1
106,102,65,peer2
143,102,65,peer2
609,102,74,novice
601,102,75,novice
602,102,87,novice
35,102,89,peer1
605,102,95,novice
605,102,96,novice
212,102,112,peer2
184,102,113,peer2
609,102,124,novice
606,102,125,novice
63,102,135,peer1
120,102,136,peer2
501,102,140,expert1
508,102,145,expert1
711,102,146,expert1
603,102,146,novice
602,102,167,novice
508,102,170,expert1
96,102,187,peer1
707,102,194,expert2
106,102,195,peer2
99,102,208,peer1
505,102,209,expert2
42,102,209,peer2
702,102,213,expert1
185,102,219,peer1
508,102,220,expert1
606,103,8,novice
702,103,26,expert1
224,103,26,peer2
74,103,27,peer1
706,103,48,expert2
104,103,48,peer1
502,103,55,expert1
604,103,63,novice
508,103,76,expert1
703,103,77,expert2
609,103,87,novice
508,103,95,expert1
39,103,97,peer1
224,103,110,peer2
505,103,112,expert2
191,103,119,peer1
703,103,124,expert2
704,103,125,expert1
508,103,126,expert1
501,103,135,expert1
506,103,135,expert1
607,103,135,novice
186,103,135,peer2
226,103,137,peer2
709,103,143,expert1
602,103,145,novice
146,103,148,peer1
711,103,154,expert1
713,103,154,expert1
169,103,163,peer2
146,103,171,peer1
509,103,176,expert2
40,103,176,peer2
604,103,190,novice
507,103,203,expert2
33,103,203,peer1
163,103,216,peer2
36,103,218,peer2
501,103,220,expert1
184,104,2,peer2
198,104,21,peer1
503,104,23,expert2
133,104,23,peer1
508,104,31,expert1
508,104,32,expert1
602,104,34,novice
609,104,46,novice
702,104,56,expert1
608,104,70,novice
609,104,70,novice
710,104,74,expert1
503,104,76,expert2
508,104,78,expert1
222,104,78,peer1
242,104,87,peer2
167,104,87,peer2
228,104,96,peer1
60,104,97,peer2
155,104,114,peer1
609,104,123,novice
228,104,126,peer1
197,104,130,peer2
608,104,140,novice
503,104,142,expert2
609,104,147,novice
209,104,147,peer2
711,104,153,expert1
176,104,163,peer1
161,104,182,peer2
605,104,184,novice
51,104,192,peer1
41,104,198,peer2
506,104,205,expert1
505,104,209,expert2
208,104,209,peer2
208,104,211,peer2
709,104,218,expert1
604,104,221,novice
161,104,221,peer2
60,104,221,peer2
508,104,225,expert1
121,104,228,peer1
608,105,4,novice
106,105,21,peer2
114,105,27,peer2
42,105,32,peer2
507,105,33,expert2
604,105,33,novice
608,105,35,novice
604,105,38,novice
219,105,46,peer1
220,105,47,peer2
508,105,48,expert1
22,105,52,peer1
603,105,64,novice
175,105,70,peer2
507,105,74,expert2
704,105,78,expert1
79,105,86,peer2
46,105,87,peer1
106,105,89,peer2
505,105,99,expert2
197,105,114,peer2
607,105,115,novice
103,105,123,peer1
705,105,126,expert2
709,105,135,expert1
503,105,152,expert2
42,105,154,peer2
711,105,167,expert1
609,105,169,novice
60,105,170,peer2
601,105,175,novice
705,105,176,expert2
77,105,209,peer2
711,105,215,expert1
142,105,218,peer2
508,105,221,expert1
506,105,224,expert1
123,105,224,peer2
508,105,225,expert1
175,105,226,peer2
508,105,228,expert1
507,108,3,expert2
501,108,20,expert1
229,108,20,peer1
102,108,20,peer2
54,108,23,peer2
702,108,25,expert1
52,108,25,peer2
605,108,28,novice
3,108,30,peer1
609,108,34,novice
102,108,35,peer2
22,108,36,peer1
8,108,37,peer1
506,108,40,expert1
502,108,45,expert1
507,108,45,expert2
605,108,46,novice
216,108,58,peer1
42,108,72,peer2
507,108,78,expert2
605,108,91,novice
606,108,113,novice
507,108,115,expert2
507,108,115,expert2
601,108,115,novice
174,108,119,peer2
713,108,122,expert1
506,108,123,expert1
229,108,123,peer1
508,108,125,expert1
609,108,140,novice
22,108,140,peer1
200,108,151,peer2
505,108,163,expert2
101,108,168,peer2
506,108,175,expert1
509,108,175,expert2
605,108,194,novice
164,108,200,peer2
608,108,201,novice
46,108,218,peer1
505,108,225,expert2
174,108,225,peer2
608,109,6,novice
507,109,7,expert2
602,109,21,novice
146,109,28,peer1
601,109,31,novice
62,109,31,peer2
508,109,32,expert1
604,109,35,novice
54,109,35,peer2
37,109,46,peer2
506,109,47,expert1
