"","theta1","theta2","raw1","raw2"
"4",-2.79499660743968,-5.16162687841269,1,1
"5",0.321611306408044,-0.376107957042415,1,1
"6",-1.95728360109604,-2.18080832495119,1,1
"7",0.666005905356203,-1.03542831555871,1,1
"8",-0.676607387159461,-0.420980195011675,1,1
"9",-3.23316449801875,-2.55181909021122,1,1
"10",0.366559106886403,0.208310066262681,0.909090909090909,0.909090909090909
"11",-2.87019115896254,-3.34237191623911,0.9,0.909090909090909
"12",-2.49768780515697,-0.852062433248921,0.9,0.909090909090909
"13",-0.759610197429604,0.142469467160875,0.9,0.909090909090909
"14",-2.15571195175323,-5.06685797957565,0.9,0.9
"15",-1.12663768775213,-4.2787030919033,0.9,0.9
"16",1.18830517133022,-0.622396547106127,0.9,0.9
"17",-3.09798296715151,-6.41059997325656,0.9,0.9
"18",-1.03203510470548,0.336262677598801,0.9,0.9
"19",-1.11610840010778,-2.98459292109789,0.9,0.9
"20",-5.00635913549699,-1.68737018816408,0.888888888888889,0.888888888888889
"21",3.13766677625234,0.498644905216179,0.888888888888889,0.888888888888889
"22",-1.10946918889628,0.353427536093313,0.888888888888889,0.888888888888889
"23",0.89855847616708,-0.00966160542206993,0.888888888888889,0.875
"24",-1.01988625872244,-0.191803574388144,0.875,0.833333333333333
"25",0.0552481774021039,-0.786207240380572,0.875,0.833333333333333
"26",-1.27569679004383,-1.33267042137502,0.875,0.818181818181818
"27",2.37049128395808,1.56433490964026,0.857142857142857,0.818181818181818
"28",-3.16029810034858,-3.05090018571352,0.833333333333333,0.818181818181818
"29",0.585782471137195,1.65277088350429,0.818181818181818,0.8
"30",-4.67634581714676,-3.30633099487838,0.818181818181818,0.8
"31",0.268704456420284,-1.41067657954526,0.818181818181818,0.8
"32",2.06189361333715,1.32177007230272,0.818181818181818,0.8
"33",-5.88603474673733,-5.00623428989665,0.818181818181818,0.8
"34",-1.8123524849548,-3.98387223432808,0.818181818181818,0.8
"35",-1.06226632202575,-1.96693325128457,0.8,0.8
"36",2.62168352711864,1.11538920192962,0.8,0.8
"37",-1.80763406630919,-1.09066744937256,0.8,0.8
"38",-0.674218816134807,-1.50599837067478,0.8,0.8
"39",-3.82414039492302,-2.72949525784051,0.8,0.777777777777778
"40",0.506314797626169,0.182589531373922,0.777777777777778,0.777777777777778
"41",-2.28110476644558,-2.25271751020097,0.777777777777778,0.75
"42",-4.10011179332933,-3.54879560250442,0.777777777777778,0.75
"43",0.317443979767439,-0.4682306504764,0.769230769230769,0.75
"44",1.84818885933867,1.87614055319807,0.75,0.75
"45",-0.308566361612296,0.375151490848019,0.75,0.75
"46",-0.551686598907237,-0.10377113168593,0.75,0.75
"47",-3.66413944457671,-3.00807976667344,0.727272727272727,0.727272727272727
"48",0.695236840080148,0.063978988530732,0.727272727272727,0.727272727272727
"49",2.20994681013961,1.60116256470873,0.727272727272727,0.727272727272727
"50",-0.946662434535156,-2.0243793754782,0.714285714285714,0.727272727272727
"51",-3.16715387241974,-3.00853319151696,0.714285714285714,0.727272727272727
"52",-4.349939071734,-2.31413006415211,0.7,0.727272727272727
"53",-1.36580749731584,-2.13085240514495,0.7,0.727272727272727
"54",-0.747027900178969,-2.47589613961402,0.7,0.727272727272727
"55",1.10313920808001,-2.04431373074958,0.7,0.7
"56",-2.99258860650307,-3.55577543403389,0.7,0.7
"57",-4.32492732752048,-3.81981553479886,0.7,0.7
"58",0.841479080769883,0.984760091647272,0.7,0.7
"59",6.46440581190517e-05,-0.288002752204947,0.7,0.7
"60",0.71366120513443,1.74198518569112,0.7,0.666666666666667
"61",-0.591044764753313,0.034708261946028,0.7,0.666666666666667
"62",-1.7398288279404,-3.61865748129014,0.7,0.666666666666667
"63",1.30651846223407,4.35187926663101,0.7,0.666666666666667
"64",2.83543078591899,0.264477573658153,0.7,0.666666666666667
"65",0.223380145848701,-0.448962957457408,0.7,0.666666666666667
"66",0.339728755293073,-0.292063459444492,0.7,0.636363636363636
"67",0.0307591761388767,-0.0733029569963191,0.666666666666667,0.636363636363636
"68",0.153367464390682,-0.573482321603633,0.666666666666667,0.636363636363636
"69",0.0844305438448428,1.73462050197923,0.666666666666667,0.636363636363636
"70",-3.83236159603148,-4.2264042616556,0.666666666666667,0.625
"71",0.999347406416807,0.181189174677484,0.642857142857143,0.615384615384615
"72",1.95426604417382,4.3111873012983,0.636363636363636,0.6
"73",0.97835803183601,2.43654225673829,0.636363636363636,0.6
"74",1.32320677111469,-0.909576126584008,0.636363636363636,0.6
"75",-0.247396197713855,2.79151206383082,0.625,0.6
"76",4.64597987214288,2.12702104799899,0.6,0.6
"77",1.20700841841936,0.465624269197467,0.6,0.6
"78",1.88379579251116,2.88262077722531,0.6,0.6
"79",-0.931328360406034,1.30080298053395,0.6,0.583333333333333
"80",-1.1748215307481,-1.19026453196802,0.6,0.583333333333333
"81",0.924407786682677,2.27082524574109,0.6,0.555555555555556
"82",-1.73592995227318,-1.01522828748078,0.555555555555556,0.555555555555556
"83",1.13251840155507,-0.305285624293011,0.555555555555556,0.555555555555556
"84",-0.957929033807544,-0.0423707873507412,0.555555555555556,0.555555555555556
"85",3.16396264679761,4.53361904802035,0.555555555555556,0.555555555555556
"86",1.27800731302339,0.26645161026023,0.555555555555556,0.555555555555556
"87",0.472665680423532,1.88741609695837,0.555555555555556,0.545454545454545
"88",-2.82973953159725,-2.01283611519542,0.555555555555556,0.545454545454545
"89",-0.955768887500137,2.34489060262153,0.555555555555556,0.545454545454545
"90",3.13482174585231,0.0718856993054193,0.545454545454545,0.545454545454545
"91",-3.32497998996136,2.56050165849675,0.545454545454545,0.545454545454545
"92",-1.39798219922251,-3.01991982673319,0.545454545454545,0.545454545454545
"93",-0.281114151978653,-0.204117495269778,0.545454545454545,0.545454545454545
"94",-2.66350706197045,-3.32272561778659,0.545454545454545,0.545454545454545
"95",1.28256244035727,2.2998063257817,0.5,0.545454545454545
"96",1.2515320773622,3.62040960045243,0.5,0.545454545454545
"97",-0.00580380768518158,-0.108071470153292,0.5,0.5
"98",1.42958163001827,0.736183498687191,0.5,0.5
"99",-1.62553352845938,1.03454438983415,0.5,0.5
"100",1.6238086123841,2.32959136606106,0.5,0.5
"101",-2.07192697436562,-3.59653779108254,0.5,0.5
"102",4.68615728987431,4.68721098690966,0.5,0.5
"103",1.40746949992212,1.50857498777804,0.5,0.5
