"","Candidate.Not.Chosen","Candidate.Chosen","Judge","A","B","choseA","choseB","theta1","raw1","theta2","raw2","probTheta","probRaw"
"304",104,101,3,101,104,1,0,1.41467206018307,0.451612903225806,3.36215208571773,0.823529411764706,0.875171604180672,0.0919219931629638
"307",104,107,3,104,107,0,1,2.18298377408676,0.548387096774194,3.36215208571773,0.823529411764706,0.764798231031327,0.0683548976140323
"308",104,107,3,104,107,0,1,2.18298377408676,0.548387096774194,3.36215208571773,0.823529411764706,0.764798231031327,0.0683548976140323
"313",105,103,2,103,105,1,0,3.72288843644822,0.838709677419355,2.36224708388596,0.620689655172414,0.795863914539416,0.0542901292266462
"315",105,86,1,105,86,0,1,1.03306339881636,0.46875,2.36224708388596,0.620689655172414,0.790705574667886,0.0379120065363591
"316",105,103,6,105,103,0,1,3.72288843644822,0.838709677419355,2.36224708388596,0.620689655172414,0.795863914539416,0.0542901292266462
"318",105,103,4,105,103,0,1,3.72288843644822,0.838709677419355,2.36224708388596,0.620689655172414,0.795863914539416,0.0542901292266462
"319",105,103,9,103,105,1,0,3.72288843644822,0.838709677419355,2.36224708388596,0.620689655172414,0.795863914539416,0.0542901292266462
"321",106,103,8,106,103,0,1,3.72288843644822,0.838709677419355,2.76181078155414,0.75,0.723337517699399,0.0221628871959968
"324",106,101,1,106,101,0,1,1.41467206018307,0.451612903225806,2.76181078155414,0.75,0.793661450467281,0.0740481819504198
"325",106,108,2,106,108,0,1,1.84648060210527,0.580645161290323,2.76181078155414,0.75,0.714089642835679,0.0422378058095759
"328",106,86,1,86,106,1,0,1.03306339881636,0.46875,2.76181078155414,0.75,0.849252126640562,0.0698526514141571
"331",107,103,4,107,103,0,1,3.72288843644822,0.838709677419355,2.18298377408676,0.548387096774194,0.823450865506478,0.0720751041796139
"333",107,103,2,107,103,0,1,3.72288843644822,0.838709677419355,2.18298377408676,0.548387096774194,0.823450865506478,0.0720751041796139
"334",107,103,3,107,103,0,1,3.72288843644822,0.838709677419355,2.18298377408676,0.548387096774194,0.823450865506478,0.0720751041796139
"335",107,104,4,104,107,1,0,3.36215208571773,0.823529411764706,2.18298377408676,0.548387096774194,0.764798231031327,0.0683548976140322
"336",107,104,9,104,107,1,0,3.36215208571773,0.823529411764706,2.18298377408676,0.548387096774194,0.764798231031327,0.0683548976140322
"337",107,103,4,103,107,1,0,3.72288843644822,0.838709677419355,2.18298377408676,0.548387096774194,0.823450865506478,0.0720751041796139
"339",107,104,2,104,107,1,0,3.36215208571773,0.823529411764706,2.18298377408676,0.548387096774194,0.764798231031327,0.0683548976140322
"348",108,87,9,87,108,1,0,-1.21750642720039,0.333333333333333,1.84648060210527,0.580645161290323,0.955382559856523,0.0615147399167789
"349",108,106,4,108,106,0,1,2.76181078155414,0.75,1.84648060210527,0.580645161290323,0.714089642835679,0.0422378058095759
"350",108,106,2,108,106,0,1,2.76181078155414,0.75,1.84648060210527,0.580645161290323,0.714089642835679,0.0422378058095759
"351",108,106,1,108,106,0,1,2.76181078155414,0.75,1.84648060210527,0.580645161290323,0.714089642835679,0.0422378058095759
"352",108,89,3,89,108,1,0,-0.0368289426850725,0.636363636363636,1.84648060210527,0.580645161290323,0.867990805315707,0.0139260161220701
"355",108,104,8,104,108,1,0,3.36215208571773,0.823529411764706,1.84648060210527,0.580645161290323,0.819900199965341,0.0604243045682564
"356",109,104,9,109,104,0,1,3.36215208571773,0.823529411764706,-1.24514163618451,0.5,0.990119805189302,0.0801841552038377
