participant_number,age_at_testing,school_recoded,activity_book,post_test,full_data,gender_recode,class,group,group_recode,SAT1_Maths,Y4_maths,SAT1_write,Y4_write,SAT1_read,Y4_read,SAT1_Maths_recoded,current_maths_recoded,SAT1_write_recoded,current_write_recoded,SAT1_read_recoded,current_read_recoded,lesson_1,lesson_2,lesson_3,exclude,Ravens_A_C,Numerical_op,Anxiety_1,Anxiety_2,Anxiety_3,Anxiety_4,Anxiety_5,Anxiety_6,Anxiety_7,Anxiety_8,Anxiety_9,Anxiety_10,Anxiety_total,algebra_1a,algebra_1b_corr,algebra_2a_corr,algebra_2b_corr,algebra_2c_corr,algebra_3_corr,algebra_4_corr,algebra_5_corr,algebra_6_corr,algebra_7_corr,algebra_8_corr,algebra_total,algebra_score,Written_expression,estimate
63,10.0,1,1,1,1,1,5M,migen,1,3b,4b,3b,4c,3b,4c,9,12,9,13,9,13,1,1,1,0,31,17,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,4,4,16,0.21675839
64,9.2,1,1,1,1,0,5D,migen,1,2a,4c,2a,3a,2a,4c,5,13,5,8,5,13,1,1,1,0,29,18,2,2,1,1,3,1,2,2,1,1,1.6,1,1,0,0,0,1,1,0,0,1,0,5,5,17,-0.210998439
65,9.6,1,1,1,1,0,5M,grid algebra,0,2c,3b,2c,3b,2b,3a,7,9,7,9,6,8,1,1,1,0,26,6,1,1,2,2,2,1,1,2,1,2,1.5,0,1,0,0,0,1,0,0,0,0,0,2,2,11,-0.043335117
66,9.3,1,1,1,1,1,5D,grid algebra,0,3b,4b,3b,4b,3b,4a,9,12,9,12,9,11,1,1,1,0,23,20,1,1,2,2,3,1,1,2,1,1,1.5,1,1,1,1,0,1,1,0,1,0,0,7,7,20,-0.580125339
67,9.1,1,1,1,1,1,5M,grid algebra,0,,4c,,3a,,3a,,13,,8,,8,1,1,1,0,25,14,2,1,3,2,3,1,1,3,1,3,2,1,1,1,1,0,1,1,0,1,0,0,7,7,17,0.905305964
68,9.4,1,1,1,1,0,5D,migen,1,2b,3b,1,2b,2c,3c,6,9,1,6,7,10,1,1,1,0,32,6,4,5,5,4,5,5,5,5,5,5,4.8,1,1,0,1,0,1,0,0,0,0,0,4,4,5,-1.565406434
69,9.5,1,1,1,1,0,5M,grid algebra,0,,4c,,4c,,4c,,13,,13,,13,1,1,1,0,24,11,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,5,5,12,0.540418897
70,9.9,1,1,1,1,0,5M,migen,1,2a,4c,2b,3b,2a,3a,5,13,6,9,5,8,1,1,1,0,16,11,2,1,1,1,2,1,1,2,2,1,1.4,1,1,1,1,0,1,1,0,0,0,0,6,6,14,-1.675427312
71,9.8,1,1,1,1,0,5D,grid algebra,0,3b,4b,3b,4c,3b,4b,9,12,9,13,9,12,1,1,1,0,28,16,1,1,1,2,1,1,1,1,2,1,1.2,1,1,1,1,0,1,0,0,1,0,0,6,6,18,-0.316531801
73,9.7,1,1,1,1,1,5M,grid algebra,0,3b,4b,3b,4b,3b,4b,9,12,9,12,9,12,1,1,1,0,26,11,1,1,2,2,1,1,1,1,1,1,1.2,1,1,1,0,0,1,0,0,0,0,0,4,4,19,0.769706763
74,8.9,1,1,1,1,0,5D,migen,1,3b,4c,2b,3b,2a,4c,9,13,6,9,5,13,1,1,1,0,30,14,1,1,1,2,3,1,1,2,1,1,1.4,1,1,1,1,0,1,1,0,0,0,0,6,6,8,-2.714199468
75,9.7,1,1,1,1,1,5M,migen,1,1,2b,p8,2c,P8,2c,1,6,,7,,7,1,1,1,0,17,13,2,1,2,2,1,1,1,2,2,1,1.5,0,0,1,0,0,1,1,0,0,0,0,3,3,6,-1.306600738
76,9.2,1,1,1,1,1,5D,migen,1,2b,3b,2b,3b,2a,3a,6,9,6,9,5,8,1,1,1,0,23,6,1,2,1,1,3,1,1,1,1,1,1.3,0,1,1,0,0,1,1,0,0,0,0,4,4,9,-0.734866903
77,9.1,1,1,1,1,1,5D,grid algebra,0,2a,3a,3b,4b,3b,4b,5,8,9,12,9,12,1,1,1,0,21,10,1,2,2,2,3,1,1,1,2,1,1.6,1,1,1,1,0,0,0,0,0,0,0,4,4,18,0.788552398
78,9.7,1,1,1,1,1,5M,migen,1,3b,4b,3b,4c,3b,4b,9,12,9,13,9,12,1,1,1,0,29,14,1,2,2,1,1,1,1,2,1,2,1.4,1,1,1,1,0,1,0,0,1,1,0,7,7,16,-0.860812636
79,9.1,1,1,1,1,0,5M,grid algebra,0,2b,3a,2c,3c,1,3c,6,8,7,10,1,10,1,1,1,0,17,12,2,1,1,1,1,1,1,2,1,2,1.3,0,1,0,0,0,1,0,0,0,0,0,2,2,14,-0.346456505
80,9.7,1,1,1,1,0,5M,grid algebra,0,1,2a,1,2b,1,2a,1,5,1,6,1,5,1,1,1,0,19,6,1,2,2,1,5,1,1,5,1,2,2.1,0,1,0,0,0,1,0,0,0,0,0,2,2,10,-1.44583957
81,9.6,1,1,1,1,1,5D,grid algebra,0,3b,4b,3b,4c,3b,4b,9,12,9,13,9,12,1,1,1,0,29,14,1,1,2,2,2,2,1,2,2,2,1.7,1,1,1,1,0,1,0,0,1,0,0,6,6,16,0.221204816
82,10.0,1,1,1,1,1,5M,migen,1,2a,3a,2b,3a,3b,4c,5,8,6,8,9,13,1,1,1,0,21,7,2,3,3,4,4,2,1,5,4,5,3.3,0,0,1,0,0,1,0,0,0,0,0,2,2,14,-1.287308116
83,10.6,1,1,1,1,0,5D,migen,1,2c,3c,1b,2b,1,2a,7,10,3,6,1,5,1,1,1,0,27,7,1,1,2,3,4,2,1,1,1,1,1.7,0,0,1,1,0,1,0,0,1,0,0,4,4,12,-1.918219676
84,9.7,1,1,1,1,0,5D,grid algebra,0,2a,3a,2a,3a,2b,3a,5,8,5,8,6,8,1,1,1,0,17,11,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,4,4,13,0.093901175
85,9.9,1,1,1,1,0,5M,grid algebra,0,3b,4b,3b,4c,3b,4b,9,12,9,13,9,12,1,1,1,0,26,15,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,5,5,17,0.777741928
86,9.3,1,1,1,1,0,5M,grid algebra,0,3b,4b,3b,4b,3b,4a,9,12,9,12,9,11,1,1,1,0,28,15,1,2,2,1,3,1,1,4,1,3,1.9,1,1,1,1,0,1,1,0,1,1,1,9,9,5,0.060990492
87,9.7,1,1,1,1,0,5M,grid algebra,0,2b,3a,2b,3a,2b,3a,6,8,6,8,6,8,1,1,1,0,17,9,2,1,5,1,4,2,1,4,2,2,2.4,1,0,0,1,0,1,0,0,0,0,0,3,3,10,-0.227363433
88,9.7,1,1,1,1,0,5M,grid algebra,0,3b,3a,2b,3b,2b,3a,9,8,6,9,6,8,1,1,1,0,23,11,1,2,2,1,1,3,1,1,1,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1.692708216
89,10.0,1,1,1,1,0,5D,grid algebra,0,2b,3a,2b,3a,2b,3a,6,8,6,8,6,8,1,1,1,0,21,11,2,1,1,3,4,1,1,2,3,1,1.9,0,1,1,1,0,1,0,0,0,0,0,4,4,10,0.356126026
90,9.9,1,1,1,1,1,5D,grid algebra,0,2b,3a,2b,3c,2b,3a,6,8,6,10,6,8,1,1,1,0,28,14,1,1,1,1,3,1,1,2,1,1,1.3,0,1,1,0,0,1,0,0,0,0,0,3,3,11,0.887537714
91,9.7,1,1,1,1,1,5M,migen,1,2c,3a,1,2a,1,3c,7,8,1,5,1,10,1,1,1,0,,9,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-0.779731936
92,9.4,1,1,1,1,0,5D,migen,1,2c,3a,2c,3b,2c,3b,7,8,7,9,7,9,1,1,1,0,20,6,3,2,1,1,2,1,1,1,1,2,1.5,1,1,0,0,0,0,0,0,0,0,0,2,2,10,-1.491875292
93,9.8,1,1,1,1,1,5M,migen,1,1,2a,1,2a,2c,3c,1,5,1,5,7,10,1,1,1,0,14,3,2,3,4,2,2,1,2,4,3,5,2.8,1,0,0,0,0,0,0,0,0,0,0,1,1,11,-1.517681255
94,9.6,1,1,1,1,0,5M,migen,1,2a,3a,,2a,2c,3c,5,8,,5,7,10,1,1,1,0,18,9,1,1,1,2,1,1,1,3,2,5,1.8,0,1,0,0,0,1,0,0,0,0,0,2,2,10,-1.009696455
95,9.5,1,1,1,1,0,5M,migen,1,2a,4c,2a,4c,2a,4c,5,13,5,13,5,13,1,1,1,0,18,9,1,1,2,2,1,1,1,1,1,2,1.3,0,0,1,1,0,1,0,0,1,0,0,4,4,13,-0.675730755
96,10.0,1,1,1,1,0,5D,migen,1,,,,,,,,,,,,,1,1,1,0,24,14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,3,3,15,-0.449827445
97,9.6,1,1,1,1,1,5M,migen,1,2c,3a,2a,3a,2a,4b,7,8,5,8,5,12,1,1,1,0,19,9,1,1,1,1,1,1,1,2,1,1,1.1,0,0,0,0,0,1,0,0,1,0,0,2,2,14,-1.463319245
98,9.9,1,1,1,1,1,5D,migen,1,2c,3b,2c,3c,2c,3b,7,9,7,10,7,9,1,1,1,0,24,5,5,1,3,2,1,1,2,4,3,4,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-2.396329759
99,9.6,2,1,1,1,1,,grid algebra,0,2a,3a,2a,3a,2a,4c,5,8,5,8,5,13,1,1,1,0,18,15,1,1,1,1,2,1,1,1,1,1,1.1,0,0,1,0,0,1,0,0,0,0,0,2,2,16,0.436957896
100,9.2,2,1,1,1,1,,grid algebra,0,3c,4c,2a,4c,3c,4b,10,13,5,13,10,12,1,1,1,0,23,14,1,1,1,1,2,1,1,1,1,1,1.1,1,1,0,0,0,1,1,0,1,0,0,5,5,19,-0.039657156
101,9.1,2,1,1,1,1,,migen,1,2b,3c,2a,3a,2b,4b,6,10,5,8,6,12,1,1,1,0,19,8,3,2,1,1,3,1,1,3,2,2,1.9,0,0,1,1,0,1,0,0,0,0,0,3,3,15,0.510843388
102,9.3,2,1,1,1,0,,grid algebra,0,2b,3a,2c,3c,2b,3c,6,8,7,10,6,10,1,1,1,0,27,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,6,6,6,-0.20174735
103,10.0,2,1,1,1,0,,grid algebra,0,2b,3a,2c,3c,2b,3b,6,8,7,10,6,9,1,1,1,0,22,13,2,1,2,2,1,2,1,2,1,1,1.5,0,0,1,1,0,1,0,0,0,0,0,3,3,11,-1.231596662
104,9.8,2,1,1,1,1,,grid algebra,0,2a,3b,2a,4c,3c,3a,5,9,5,13,10,8,1,1,1,0,31,19,1,1,1,1,2,1,1,1,1,1,1.1,0,0,1,0,0,1,1,0,1,0,0,4,4,16,1.015388667
105,9.7,2,1,1,1,1,,grid algebra,0,2b,3b,2b,3b,2b,3b,6,9,6,9,6,9,1,1,1,0,23,16,3,2,1,2,3,1,1,2,1,1,1.7,1,1,1,1,0,1,1,0,1,0,0,7,7,14,0.737777936
106,9.9,2,1,1,1,1,,migen,1,2a,3a,2b,3b,2a,4c,5,8,6,9,5,13,1,1,1,0,22,12,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,5,5,14,0.049357752
107,9.8,2,1,1,1,1,,grid algebra,0,2b,3c,2c,3c,2b,3b,6,10,7,10,6,9,1,1,1,0,20,11,1,1,1,1,3,1,1,1,1,3,1.4,0,0,0,0,0,1,0,0,0,0,0,1,1,14,0.015890458
108,10.0,2,1,1,1,0,,grid algebra,0,3c,3a,2b,3b,2a,3a,10,8,6,9,5,8,1,1,1,0,27,16,1,1,1,1,2,1,1,1,1,1,1.1,1,1,1,1,0,1,1,0,1,0,0,7,7,10,0.03081453
109,9.8,2,1,1,1,1,,migen,1,3c,4c,2a,4c,3c,4b,10,13,5,13,10,12,1,1,1,0,25,18,1,1,1,1,1,1,1,1,1,3,1.2,1,1,1,0,0,1,1,0,1,1,0,7,7,17,-0.152326892
111,9.4,2,1,1,1,1,,grid algebra,0,2b,3b,2b,3b,2a,3a,6,9,6,9,5,8,1,1,1,0,25,11,1,2,3,3,2,1,1,2,1,2,1.8,0,1,1,1,1,1,0,0,1,0,0,6,6,13,0.430894411
113,9.4,2,1,1,1,0,,grid algebra,0,2c,3a,2c,3c,1b,2b,7,8,7,10,3,6,1,1,1,0,30,11,1,1,1,1,1,1,1,2,1,3,1.3,0,1,1,0,0,1,0,0,0,0,0,3,3,13,-2.581110736
115,9.9,2,1,1,1,1,,migen,1,3c,4c,2a,4c,3c,4c,10,13,5,13,10,13,1,1,1,0,29,20,1,1,2,2,3,1,1,1,1,1,1.4,1,1,1,0,0,1,1,0,1,0,0,6,6,14,0.22260329
117,9.6,2,1,1,1,0,,grid algebra,0,3c,4b,2b,3b,2b,4c,10,12,6,9,6,13,1,1,1,0,32,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,7,7,15,1.320984303
118,9.2,2,1,1,1,1,,grid algebra,0,2a,3b,2b,3a,2a,4c,5,9,6,8,5,13,1,1,1,0,22,8,1,2,2,3,1,1,1,3,1,2,1.7,1,1,1,1,1,1,0,0,1,0,0,7,7,17,0.728271006
119,10.1,2,1,1,1,1,,grid algebra,0,2b,3b,2c,3c,2b,3b,6,9,7,10,6,9,1,1,1,0,24,14,1,1,2,2,3,1,1,1,1,1,1.4,0,0,0,0,0,1,0,0,0,0,0,1,1,13,0.236941438
120,10.0,2,1,1,1,0,,migen,1,2a,3a,2b,3c,2a,3b,5,8,6,10,5,9,1,1,1,0,25,12,1,1,1,1,1,1,1,2,1,4,1.4,1,1,0,0,0,1,1,0,1,0,0,5,5,15,0.716074296
121,9.9,2,1,1,1,1,,grid algebra,0,3c,4b,2a,4c,3c,4c,10,12,5,13,10,13,1,1,1,0,25,15,1,1,1,2,1,1,1,1,1,2,1.2,1,1,1,1,0,1,1,0,1,1,0,8,8,18,1.396253834
122,9.5,2,1,1,1,1,,grid algebra,0,2c,3b,2c,3c,2b,3b,7,9,7,10,6,9,1,1,1,0,18,16,2,3,3,4,5,1,1,2,2,3,2.6,0,0,1,0,0,1,0,0,1,1,0,4,4,12,0.718700959
123,9.7,2,1,1,1,1,,migen,1,2a,4c,2b,3b,2a,3a,5,13,6,9,5,8,1,1,1,0,29,13,1,1,1,2,2,1,1,1,1,1,1.2,1,1,1,0,0,1,1,0,1,0,0,6,6,19,1.145079289
124,10.1,2,1,1,1,0,,migen,1,3c,4b,2b,4c,3c,4b,10,12,6,13,10,12,1,1,1,0,29,23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,7,7,14,0.04536222
125,9.2,2,1,1,1,1,,migen,1,2b,3a,2c,3c,2a,3b,6,8,7,10,5,9,1,1,1,0,31,18,1,2,2,2,1,1,1,2,2,2,1.6,0,0,1,1,0,1,1,0,0,0,1,5,5,14,-0.558207595
126,9.4,2,1,1,1,0,,grid algebra,0,2a,3b,2c,2b,2c,2b,5,9,7,6,7,6,1,1,1,0,27,15,1,2,1,1,1,1,1,3,1,3,1.5,1,1,1,1,0,1,1,0,1,1,0,8,8,9,0.678143802
127,10.0,2,1,1,1,0,,grid algebra,0,2a,4c,2a,3a,2a,3a,5,13,5,8,5,8,1,1,1,0,27,18,1,1,1,1,2,2,1,1,1,1,1.2,1,1,1,1,1,1,1,0,0,0,0,7,7,17,-0.548687818
129,9.8,2,1,1,1,1,,grid algebra,0,2b,3c,2b,3b,2a,3b,6,10,6,9,5,9,1,1,1,0,21,9,1,3,1,1,2,1,1,2,1,2,1.5,0,0,1,0,0,1,0,0,0,0,0,2,2,16,0.489166524
130,9.4,2,1,1,1,0,,grid algebra,0,3c,4c,2a,4c,3c,4b,10,13,5,13,10,12,1,1,1,0,29,17,1,1,1,1,2,1,1,1,1,1,1.1,1,1,1,1,1,1,1,0,1,1,0,9,9,16,-0.10780865
131,9.9,2,1,1,1,1,,migen,1,3c,4a,2a,4b,3c,4c,10,11,5,12,10,13,1,1,1,0,29,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,7,7,23,1.539948525
132,9.2,2,1,1,1,1,,migen,1,2a,3a,2a,4b,3c,4b,5,8,5,12,10,12,1,1,1,0,26,18,1,3,2,4,5,4,1,5,2,3,3,0,1,0,0,0,1,1,0,1,0,0,4,4,15,0.508584652
133,10.1,2,1,1,1,1,,migen,1,2a,3a,3c,4c,3c,4b,5,8,10,13,10,12,1,1,1,0,20,16,1,2,2,4,1,1,1,3,1,4,2,1,1,1,0,0,1,1,0,1,1,0,7,7,18,0.713251477
134,9.4,2,1,1,1,0,,migen,1,2c,3c,1b,2c,1b,2c,7,10,3,7,3,7,1,1,1,0,14,14,1,2,3,5,1,3,1,1,1,4,2.2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,-1.113321836
135,9.7,2,1,1,1,1,,migen,1,2a,3a,2c,3b,2b,3a,5,8,7,9,6,8,1,1,1,0,25,18,1,1,2,2,3,1,1,2,1,1,1.5,0,0,0,1,0,1,1,0,1,0,0,4,4,11,0.253409782
136,9.8,2,1,1,1,0,,migen,1,2b,3a,2c,3c,2b,3b,6,8,7,10,6,9,1,1,1,0,23,16,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,5,5,9,0.597282992
140,9.3,2,1,1,1,0,,migen,1,2b,3a,2c,2a,1a,3c,6,8,7,5,2,10,1,1,1,0,24,14,1,1,1,1,2,1,1,1,1,1,1.1,1,1,1,0,0,1,1,0,1,0,0,6,6,10,0.250949886
142,9.4,2,1,1,1,0,,grid algebra,0,2b,3b,1a,3b,1a,3c,6,9,2,9,2,10,1,1,1,0,21,17,1,2,1,2,3,1,1,1,1,1,1.4,0,0,1,1,1,1,0,0,0,0,0,4,4,12,-1.024617363
143,9.3,2,1,1,1,0,,migen,1,3c,4b,2b,3b,2b,4c,10,12,6,9,6,13,1,1,1,0,23,16,1,1,1,1,2,1,1,1,1,1,1.1,1,1,1,1,0,1,1,0,1,0,0,7,7,13,-0.071804989
144,9.2,2,1,1,1,0,,migen,1,2b,3b,2c,3c,2b,3b,6,9,7,10,6,9,1,1,1,0,16,10,2,1,2,4,1,1,1,1,2,1,1.6,0,0,1,1,0,1,0,0,1,0,0,4,4,12,-1.587204279
145,9.4,2,1,1,1,0,,grid algebra,0,2a,3a,2c,3c,2b,3b,5,8,7,10,6,9,1,1,1,0,28,14,1,2,1,2,4,1,1,2,1,4,1.9,0,1,1,0,0,1,0,0,1,1,0,5,5,15,0.888179049
146,9.4,2,1,1,1,1,,migen,1,3c,3a,2a,4c,3c,4b,10,8,5,13,10,12,1,1,1,0,22,24,1,1,1,2,1,1,1,1,1,1,1.1,1,1,1,0,0,1,0,0,1,1,0,6,6,17,1.129025731
147,9.8,2,1,1,1,1,,grid algebra,0,2a,3b,2b,3b,2a,3a,5,9,6,9,5,8,1,1,1,0,25,13,1,2,1,2,1,1,1,2,1,3,1.5,0,1,1,0,0,1,0,0,0,0,0,3,3,14,0.068965871
148,9.2,2,1,1,1,1,,grid algebra,0,2a,3b,2a,3a,3c,4b,5,9,5,8,10,12,1,1,1,0,24,10,2,2,1,2,1,2,1,1,1,1,1.4,0,0,1,0,0,1,0,0,0,0,0,2,2,11,0.549499373
149,10.0,2,1,1,1,1,,grid algebra,0,2a,4c,2a,3a,3c,4c,5,13,5,8,10,13,1,1,1,0,26,12,1,1,1,2,1,1,1,1,1,1,1.1,0,1,0,0,0,1,1,0,1,0,0,4,4,13,-0.090324283
150,9.9,2,1,1,1,1,,grid algebra,0,3c,4b,2a,3a,3c,4b,10,12,5,8,10,12,1,1,1,0,26,20,1,1,1,2,2,1,1,1,1,1,1.2,0,0,0,1,0,1,1,0,1,1,0,5,5,17,1.032654421
151,9.4,2,1,1,1,1,,grid algebra,0,2c,3b,1a,3c,1a,2a,7,9,2,10,2,5,1,1,1,0,19,11,3,2,3,2,3,2,3,1,1,2,2.2,0,0,1,1,0,1,0,0,0,0,0,3,3,12,-1.338501082
152,9.9,2,1,1,1,1,,grid algebra,0,3c,4c,2a,4b,3c,4b,10,13,5,12,10,12,1,1,1,0,25,18,1,1,1,2,1,1,1,1,1,1,1.1,0,0,1,0,0,1,1,0,1,1,0,5,5,16,2.093349872
153,9.9,2,1,1,1,0,,migen,1,3c,4b,2b,3a,3c,4c,10,12,6,8,10,13,1,1,1,0,28,19,1,1,1,1,2,1,1,1,1,1,1.1,1,1,1,0,0,1,1,0,1,0,0,6,6,15,0.821564317
