"Judge","Candidate.Chosen","Candidate.Not.Chosen","Time.Taken","Internal","Date.Created"
2001,250,224,64.6,TRUE,"09/08/2017 09:14"
2001,87,62,78.7,TRUE,"09/08/2017 08:58"
2001,316,82,26.1,TRUE,"03/08/2017 15:26"
2001,2,159,86.5,TRUE,"01/08/2017 15:42"
2001,134,154,168.1,TRUE,"03/08/2017 15:36"
2001,350,367,81.7,TRUE,"04/08/2017 14:24"
2001,60,108,7.5,TRUE,"03/08/2017 15:18"
2001,169,295,113.4,TRUE,"01/08/2017 15:20"
2001,309,30,101.5,TRUE,"09/08/2017 08:55"
2001,224,289,103.8,TRUE,"09/08/2017 09:00"
2001,233,93,97.7,TRUE,"09/08/2017 10:10"
2001,62,156,11.1,TRUE,"04/08/2017 14:37"
2001,172,139,46.5,TRUE,"09/08/2017 08:46"
2001,57,135,36.1,TRUE,"01/08/2017 15:21"
2001,313,246,9,TRUE,"01/08/2017 15:31"
2001,249,320,152.6,TRUE,"09/08/2017 09:20"
2001,365,70,126,TRUE,"03/08/2017 15:44"
2001,32,164,144.3,TRUE,"03/08/2017 15:24"
2001,130,222,93.5,TRUE,"03/08/2017 15:40"
2001,365,258,225.6,TRUE,"04/08/2017 14:23"
2001,339,137,102.6,TRUE,"09/08/2017 09:33"
2001,190,246,6.6,TRUE,"01/08/2017 15:31"
2001,358,279,30.6,TRUE,"09/08/2017 09:43"
2001,251,64,120.5,TRUE,"04/08/2017 15:41"
2010,49,351,12,TRUE,"02/08/2017 11:07"
2010,338,107,88.9,TRUE,"31/07/2017 14:56"
2010,171,123,162.9,TRUE,"31/07/2017 15:22"
2010,97,115,99.3,TRUE,"27/07/2017 13:23"
2010,120,371,486.7,TRUE,"31/07/2017 14:52"
2010,302,188,95.3,TRUE,"02/08/2017 07:56"
2010,211,321,19.8,TRUE,"27/07/2017 07:59"
2010,335,243,136.7,TRUE,"02/08/2017 07:59"
2010,350,270,145.4,TRUE,"02/08/2017 08:08"
2010,60,245,71.1,TRUE,"02/08/2017 11:10"
2010,211,174,9.4,TRUE,"02/08/2017 08:02"
2010,206,242,100.3,TRUE,"02/08/2017 11:09"
2010,313,163,99.8,TRUE,"28/07/2017 14:59"
2010,138,207,29.5,TRUE,"31/07/2017 14:38"
2010,274,341,130.2,TRUE,"27/07/2017 07:45"
2010,173,196,115.4,TRUE,"27/07/2017 08:02"
2010,3,170,8.4,TRUE,"01/08/2017 09:22"
2010,118,114,99.5,TRUE,"27/07/2017 07:52"
2010,306,321,17.8,TRUE,"02/08/2017 11:12"
2010,299,356,111.2,TRUE,"27/07/2017 13:33"
2010,299,339,84.5,TRUE,"02/08/2017 08:04"
2010,206,272,65.1,TRUE,"28/07/2017 07:54"
2010,105,165,11.9,TRUE,"28/07/2017 07:56"
2010,101,90,10.8,TRUE,"02/08/2017 11:17"
2010,6,229,14.2,TRUE,"31/07/2017 15:06"
2010,134,116,58.5,TRUE,"27/07/2017 07:58"
2010,130,349,131.5,TRUE,"27/07/2017 07:55"
2010,352,302,158.3,TRUE,"02/08/2017 08:02"
2010,89,207,30.7,TRUE,"27/07/2017 07:53"
2010,99,285,50.6,TRUE,"28/07/2017 15:00"
2010,93,170,6.3,TRUE,"02/08/2017 11:17"
