Judge,Candidate.Chosen,Candidate.Not.Chosen,Session
19,10,6,Bowland070211data
19,5,6,Bowland070211data
19,3,5,Bowland070211data
19,7,3,Bowland070211data
19,7,4,Bowland070211data
19,15,4,Bowland070211data
19,15,14,Bowland070211data
19,13,14,Bowland070211data
19,13,2,Bowland070211data
19,12,2,Bowland070211data
19,9,12,Bowland070211data
19,9,14,Bowland070211data
19,10,14,Bowland070211data
19,13,10,Bowland070211data
19,13,18,Bowland070211data
19,18,1,Bowland070211data
18,15,18,Bowland070211data
18,14,18,Bowland070211data
18,14,2,Bowland070211data
18,10,2,Bowland070211data
18,10,18,Bowland070211data
18,15,18,Bowland070211data
18,15,8,Bowland070211data
18,12,8,Bowland070211data
18,1,12,Bowland070211data
18,6,1,Bowland070211data
18,6,16,Bowland070211data
18,5,16,Bowland070211data
18,13,5,Bowland070211data
18,13,4,Bowland070211data
18,3,4,Bowland070211data
18,3,9,Bowland070211data
15,15,4,Bowland070211data
15,14,15,Bowland070211data
15,13,14,Bowland070211data
15,13,3,Bowland070211data
15,18,3,Bowland070211data
15,18,15,Bowland070211data
15,7,15,Bowland070211data
15,7,8,Bowland070211data
15,2,8,Bowland070211data
15,2,1,Bowland070211data
15,11,1,Bowland070211data
15,5,11,Bowland070211data
15,13,5,Bowland070211data
15,13,10,Bowland070211data
15,7,10,Bowland070211data
14,7,18,Bowland070211data
14,7,3,Bowland070211data
14,3,8,Bowland070211data
14,2,8,Bowland070211data
14,2,1,Bowland070211data
14,6,1,Bowland070211data
14,6,16,Bowland070211data
14,9,16,Bowland070211data
14,17,9,Bowland070211data
14,17,5,Bowland070211data
14,5,4,Bowland070211data
14,15,4,Bowland070211data
14,15,11,Bowland070211data
17,6,5,Bowland070211data
17,3,5,Bowland070211data
17,7,3,Bowland070211data
17,7,15,Bowland070211data
17,15,18,Bowland070211data
17,14,18,Bowland070211data
17,14,2,Bowland070211data
17,3,2,Bowland070211data
17,10,3,Bowland070211data
17,10,18,Bowland070211data
17,6,18,Bowland070211data
17,6,14,Bowland070211data
17,13,14,Bowland070211data
17,13,4,Bowland070211data
17,15,4,Bowland070211data
17,15,16,Bowland070211data
22,14,18,Bowland070211data
22,13,14,Bowland070211data
22,13,10,Bowland070211data
22,7,10,Bowland070211data
22,7,3,Bowland070211data
22,3,12,Bowland070211data
22,12,2,Bowland070211data
22,2,1,Bowland070211data
22,16,1,Bowland070211data
22,11,16,Bowland070211data
22,11,5,Bowland070211data
22,5,4,Bowland070211data
22,2,4,Bowland070211data
22,8,2,Bowland070211data
12,4,17,GCSE030211data
12,8,4,GCSE030211data
12,15,9,GCSE030211data
12,18,14,GCSE030211data
12,8,17,GCSE030211data
12,3,8,GCSE030211data
12,9,3,GCSE030211data
12,2,9,GCSE030211data
12,16,1,GCSE030211data
12,5,16,GCSE030211data
10,4,10,GCSE030211data
10,9,18,GCSE030211data
10,8,14,GCSE030211data
10,5,6,GCSE030211data
10,3,7,GCSE030211data
10,14,16,GCSE030211data
10,6,4,GCSE030211data
2,5,9,GCSE030211data
2,7,13,GCSE030211data
2,6,7,GCSE030211data
2,5,11,GCSE030211data
4,8,10,GCSE030211data
4,1,11,GCSE030211data
4,5,7,GCSE030211data
6,8,18,GCSE030211data
6,6,16,GCSE030211data
6,2,5,GCSE030211data
6,10,17,GCSE030211data
3,11,18,GCSE030211data
3,5,6,GCSE030211data
3,1,12,GCSE030211data
3,3,2,GCSE030211data
3,15,10,GCSE030211data
3,13,15,GCSE030211data
3,4,5,GCSE030211data
3,9,12,GCSE030211data
3,3,13,GCSE030211data
1,4,15,GCSE030211data
1,4,18,GCSE030211data
1,8,4,GCSE030211data
1,11,8,GCSE030211data
1,6,11,GCSE030211data
1,9,13,GCSE030211data
1,7,9,GCSE030211data
1,11,10,GCSE030211data
1,16,14,GCSE030211data
8,12,15,GCSE030211data
8,11,12,GCSE030211data
8,5,16,GCSE030211data
8,10,13,GCSE030211data
8,14,10,GCSE030211data
8,11,14,GCSE030211data
8,2,8,GCSE030211data
5,4,2,GCSE030211data
5,12,18,GCSE030211data
5,15,12,GCSE030211data
5,6,10,GCSE030211data
7,12,17,GCSE030211data
7,9,12,GCSE030211data
7,15,14,GCSE030211data
7,11,15,GCSE030211data
7,6,11,GCSE030211data
7,4,5,GCSE030211data
7,3,4,GCSE030211data
7,1,18,GCSE030211data
7,14,8,GCSE030211data
11,16,15,GCSE030211data
11,5,16,GCSE030211data
11,7,8,GCSE030211data
11,18,17,GCSE030211data
9,3,15,GCSE030211data
9,12,11,GCSE030211data
9,17,12,GCSE030211data
9,8,17,GCSE030211data
9,6,18,GCSE030211data
9,4,13,GCSE030211data
9,7,9,GCSE030211data
12,8,16,GCSE030211data
12,16,9,GCSE030211data
12,15,14,GCSE030211data
12,18,17,GCSE030211data
12,2,1,GCSE030211data
10,4,18,GCSE030211data
10,9,14,GCSE030211data
10,8,6,GCSE030211data
10,5,12,GCSE030211data
10,12,7,GCSE030211data
10,3,15,GCSE030211data
10,1,11,GCSE030211data
2,5,1,GCSE030211data
2,1,13,GCSE030211data
2,6,4,GCSE030211data
2,2,12,GCSE030211data
2,10,18,GCSE030211data
4,8,11,GCSE030211data
4,1,4,GCSE030211data
