individual	School	age_at_testing	school_recoded	activity_book	post_test	full_data	gender	gender_recode	class	group	group_recode	SAT1_Maths	Y4_maths	SAT1_write	Y4_write	SAT1_read	Y4_read	SAT1_Maths_recoded	current_maths_recoded	SAT1_write_recoded	current_write_recoded	SAT1_read_recoded	current_read_recoded	lesson_1	lesson_2	lesson_3	exclude	Ravens_A_C	Numerical_op	Anxiety_1	Anxiety_2	Anxiety_3	Anxiety_4	Anxiety_5	Anxiety_6	Anxiety_7	Anxiety_8	Anxiety_9	Anxiety_10	Anxiety_total	algebra_1a	algebra_1b	algebra_2a	algebra_2b	algebra_2c	algebra_3	algebra_4	algebra_5	algebra_6	algebra_7	algebra_8	algebra_1a	algebra_1b_corr	algebra_2a_corr	algebra_2b_corr	algebra_2c_corr	algebra_3_corr	algebra_4_corr	algebra_5_corr	algebra_6_corr	algebra_7_corr	algebra_8_corr	algebra_total	algebra_score	Written_expression	CJ_estimate
111	Church_Hill	9.42	2	1	1	1	f	1		grid algebra	0	2b	3b	2b	3b	2a	3a	6	9	6	9	5	8	1	1	1	0	25	11	1	2	3	3	2	1	1	2	1	2	1.8	n	n+4	8+4	n+5+4	3n+4	45	763	15	a=3	999	999	0	1	1	1	1	1	0	0	1	0	0	6	6	13	0.430894411
113	Church_Hill	9.43	2	1	1	1	m	0		grid algebra	0	2c	3a	2c	3c	1b	2b	7	8	7	10	3	6	1	1	1	0	30	11	1	1	1	1	1	1	1	2	1	3	1.3	n	n+4	12	n9	7n	45	763	12	a=2	5n	4n	0	1	1	0	0	1	0	0	0	0	0	3	3	13	-2.581110736
115	Church_Hill	9.89	2	1	1	1	f	1		migen	1	3c	4c	2a	4c	3c	4c	10	13	5	13	10	13	1	1	1	0	29	20	1	1	2	2	3	1	1	1	1	1	1.4	n-7	n+4	12	n9	7n	45	761	15	a=3	u=2	donÍt know	1	1	1	0	0	1	1	0	1	0	0	6	6	14	0.22260329
117	Church_Hill	9.63	2	1	1	1	m	0		grid algebra	0	3c	4b	2b	3b	2b	4c	10	12	6	9	6	13	1	1	1	0	32	17	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	12	n+9	7	45	761	15	a=3	u=2	m=35	1	1	1	1	0	1	1	0	1	0	0	7	7	15	1.320984303
118	Church_Hill	9.22	2	1	1	1	f	1		grid algebra	0	2a	3b	2b	3a	2a	4c	5	9	6	8	5	13	1	1	1	0	22	8	1	2	2	3	1	1	1	3	1	2	1.7	n-7	n+4	8+4	n+5+4	3n+4	45	763	12	a=3	u=2	m=8	1	1	1	1	1	1	0	0	1	0	0	7	7	17	0.728271006
119	Church_Hill	10.07	2	1	1	1	f	1		grid algebra	0	2b	3b	2c	3c	2b	3b	6	9	7	10	6	9	1	1	1	0	24	14	1	1	2	2	3	1	1	1	1	1	1.4	n	n7	999	4	999	45	999	9	a 6 3	999	999	0	0	0	0	0	1	0	0	0	0	0	1	1	13	0.236941438
120	Church_Hill	9.97	2	1	1	1	m	0		migen	1	2a	3a	2b	3c	2a	3b	5	8	6	10	5	9	1	1	1	0	25	12	1	1	1	1	1	1	1	2	1	4	1.4	n-7	n+4	4	4	4	45	761	999	a=3	v=1	n=4	1	1	0	0	0	1	1	0	1	0	0	5	5	15	0.716074296
121	Church_Hill	9.88	2	1	1	1	f	1		grid algebra	0	3c	4b	2a	4c	3c	4c	10	12	5	13	10	13	1	1	1	0	25	15	1	1	1	2	1	1	1	1	1	2	1.2	n-7	n+4	8+4	n+9	7n	45	761	12	a=3	u=4	m=8	1	1	1	1	0	1	1	0	1	1	0	8	8	18	1.396253834
122	Church_Hill	9.45	2	1	1	1	f	1		grid algebra	0	2c	3b	2c	3c	2b	3b	7	9	7	10	6	9	1	1	1	0	18	16	2	3	3	4	5	1	1	2	2	3	2.6	n	n*1	12	23	21	45	763	15	a=3	u=4	m=8	0	0	1	0	0	1	0	0	1	1	0	4	4	12	0.718700959
123	Church_Hill	9.69	2	1	1	1	f	1		migen	1	2a	4c	2b	3b	2a	3a	5	13	6	9	5	8	1	1	1	0	29	13	1	1	1	2	2	1	1	1	1	1	1.2	n-7	n+4	12	9	11	45	761	15	a=3	4	8	1	1	1	0	0	1	1	0	1	0	0	6	6	19	1.145079289
124	Church_Hill	10.09	2	1	1	1	m	0		migen	1	3c	4b	2b	4c	3c	4b	10	12	6	13	10	12	1	1	1	0	29	23	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	n+12	n+9	n+7	45	761	15	a=3	u=4	999	1	1	0	1	0	1	1	0	1	1	0	7	7	14	0.04536222
125	Church_Hill	9.24	2	1	1	1	f	1		migen	1	2b	3a	2c	3c	2a	3b	6	8	7	10	5	9	1	1	1	0	31	18	1	2	2	2	1	1	1	2	2	2	1.6	n	n-7	12	n+9	7n	45	761	12	a=1	u=21	m=13	0	0	1	1	0	1	1	0	0	0	1	5	5	14	-0.558207595
126	Church_Hill	9.45	2	1	1	1	m	0		grid algebra	0	2a	3b	2c	2b	2c	2b	5	9	7	6	7	6	1	1	1	0	27	15	1	2	1	1	1	1	1	3	1	3	1.5	n-7	n+4	12	n+9	7n	45	761	12	a=3	u=4	m=35	1	1	1	1	0	1	1	0	1	1	0	8	8	9	0.678143802
127	Church_Hill	9.98	2	1	1	1	m	0		grid algebra	0	2a	4c	2a	3a	2a	3a	5	13	5	8	5	8	1	1	1	0	27	18	1	1	1	1	2	2	1	1	1	1	1.2	n-7	n+4	8+4	n+5+4	3n+4	45	761	15	then a+5-2=	then v+3+2=	then 3n+1+4=	1	1	1	1	1	1	1	0	0	0	0	7	7	17	-0.548687818
129	Church_Hill	9.84	2	1	1	1	f	1		grid algebra	0	2b	3c	2b	3b	2a	3b	6	10	6	9	5	9	1	1	1	0	21	9	1	3	1	1	2	1	1	2	1	2	1.5	n	n+1	12	10	30	45	763	12	too hard	too hard	n is one number higher	0	0	1	0	0	1	0	0	0	0	0	2	2	16	0.489166524
130	Church_Hill	9.36	2	1	1	1	m	0		grid algebra	0	3c	4c	2a	4c	3c	4b	10	13	5	13	10	12	1	1	1	0	29	17	1	1	1	1	2	1	1	1	1	1	1.1	n-7	n+4	8+4	n+5+4	3n+4	45	761	12	a=3	u=4	m=35	1	1	1	1	1	1	1	0	1	1	0	9	9	16	-0.10780865
131	Church_Hill	9.86	2	1	1	1	f	1		migen	1	3c	4a	2a	4b	3c	4c	10	11	5	12	10	13	1	1	1	0	29	26	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	12	9	7n	45	761	15	a=3	u=4	m=35	1	1	1	0	0	1	1	0	1	1	0	7	7	23	1.539948525
132	Church_Hill	9.23	2	1	1	1	f	1		migen	1	2a	3a	2a	4b	3c	4b	5	8	5	12	10	12	1	1	1	0	26	18	1	3	2	4	5	4	1	5	2	3	3	n-3	n+4	4	4	4	45	761	16	a=3	"3+1=u, 2=1"	999	0	1	0	0	0	1	1	0	1	0	0	4	4	15	0.508584652
133	Church_Hill	10.09	2	1	1	1	f	1		migen	1	2a	3a	3c	4c	3c	4b	5	8	10	13	10	12	1	1	1	0	20	16	1	2	2	4	1	1	1	3	1	4	2	n-7	n+4	12	9	7n	45	761	15	a=3	u=4	1	1	1	1	0	0	1	1	0	1	1	0	7	7	18	0.713251477
134	Church_Hill	9.38	2	1	1	1	m	0		migen	1	2c	3c	1b	2c	1b	2c	7	10	3	7	3	7	1	1	1	0	14	14	1	2	3	5	1	3	1	1	1	4	2.2	n+4	n	8	3n	n+5	44	763	12	a=3	999	m=34	0	0	0	0	0	0	0	0	1	0	0	1	1	1	-1.113321836
135	Church_Hill	9.68	2	1	1	1	f	1		migen	1	2a	3a	2c	3b	2b	3a	5	8	7	9	6	8	1	1	1	0	25	18	1	1	2	2	3	1	1	2	1	1	1.5	n+1	n+7	n+12	n+9	n+7	45	761	16	a=3	u=13	m=2	0	0	0	1	0	1	1	0	1	0	0	4	4	11	0.253409782
136	Church_Hill	9.78	2	1	1	1	m	0		migen	1	2b	3a	2c	3c	2b	3b	6	8	7	10	6	9	1	1	1	0	23	16	1	1	1	1	1	1	1	1	1	1	1	"n,n-3,n+1,n-7"	n+4	12	4	999	45	761	12	a=3	is-u-v	m =1	0	1	1	0	0	1	1	0	1	0	0	5	5	9	0.597282992
140	Church_Hill	9.33	2	1	1	1	m	0		migen	1	2b	3a	2c	2a	1a	3c	6	8	7	5	2	10	1	1	1	0	24	14	1	1	1	1	2	1	1	1	1	1	1.1	n-7	n+4	12	22	17	45	761	12	a=3	u=5	x	1	1	1	0	0	1	1	0	1	0	0	6	6	10	0.250949886
142	Church_Hill	9.44	2	1	1	1	m	0		grid algebra	0	2b	3b	1a	3b	1a	3c	6	9	2	9	2	10	1	1	1	0	21	17	1	2	1	2	3	1	1	1	1	1	1.4	n	n-7	8+4	n+5+4	3n+4	45	763	12	999	999	999	0	0	1	1	1	1	0	0	0	0	0	4	4	12	-1.024617363
143	Church_Hill	9.27	2	1	1	1	m	0		migen	1	3c	4b	2b	3b	2b	4c	10	12	6	9	6	13	1	1	1	0	23	16	1	1	1	1	2	1	1	1	1	1	1.1	n-7	n+4	12	n+9	7n	45	761	13	a=3	v=1	n=4	1	1	1	1	0	1	1	0	1	0	0	7	7	13	-0.071804989
144	Church_Hill	9.22	2	1	1	1	m	0		migen	1	2b	3b	2c	3c	2b	3b	6	9	7	10	6	9	1	1	1	0	16	10	2	1	2	4	1	1	1	1	2	1	1.6	"n-7,n-3,n"	"n+1,n+4"	12	n+9	7n	45	760	15	a=3	999	I donÍt get it	0	0	1	1	0	1	0	0	1	0	0	4	4	12	-1.587204279
145	Church_Hill	9.42	2	1	1	1	m	0		grid algebra	0	2a	3a	2c	3c	2b	3b	5	8	7	10	6	9	1	1	1	0	28	14	1	2	1	2	4	1	1	2	1	4	1.9	n	n+4	12	9	7n	45	763	12	a=3	u=4	m=5	0	1	1	0	0	1	0	0	1	1	0	5	5	15	0.888179049
146	Church_Hill	9.41	2	1	1	1	f	1		migen	1	3c	3a	2a	4c	3c	4b	10	8	5	13	10	12	1	1	1	0	22	24	1	1	1	2	1	1	1	1	1	1	1.1	n-7	n+4	12	10	7	45	200	15	a=3	u=4	m=35	1	1	1	0	0	1	0	0	1	1	0	6	6	17	1.129025731
147	Church_Hill	9.79	2	1	1	1	f	1		grid algebra	0	2a	3b	2b	3b	2a	3a	5	9	6	9	5	8	1	1	1	0	25	13	1	2	1	2	1	1	1	2	1	3	1.5	n	n+4	12	10	35	45	763	12	a odd = even	v might equal everything	n has gone 1 number higher	0	1	1	0	0	1	0	0	0	0	0	3	3	14	0.068965871
148	Church_Hill	9.16	2	1	1	1	f	1		grid algebra	0	2a	3b	2a	3a	3c	4b	5	9	5	8	10	12	1	1	1	0	24	10	2	2	1	2	1	2	1	1	1	1	1.4	n+4	n-7	12	9	7	45	763	9	a=1	u=26	999	0	0	1	0	0	1	0	0	0	0	0	2	2	11	0.549499373
149	Church_Hill	10.03	2	1	1	1	f	1		grid algebra	0	2a	4c	2a	3a	3c	4c	5	13	5	8	10	13	1	1	1	0	26	12	1	1	1	2	1	1	1	1	1	1	1.1	n+7	n+4	d+8	14+5	x	45	761	15	a=3	x	x	0	1	0	0	0	1	1	0	1	0	0	4	4	13	-0.090324283
150	Church_Hill	9.92	2	1	1	1	f	1		grid algebra	0	3c	4b	2a	3a	3c	4b	10	12	5	8	10	12	1	1	1	0	26	20	1	1	1	2	2	1	1	1	1	1	1.2	n+4	n-7	n+12	n+9	7n	45	761	12	a=3	u=4	m is 4n	0	0	0	1	0	1	1	0	1	1	0	5	5	17	1.032654421
151	Church_Hill	9.44	2	1	1	1	f	1		grid algebra	0	2c	3b	1a	3c	1a	2a	7	9	2	10	2	5	1	1	1	0	19	11	3	2	3	2	3	2	3	1	1	2	2.2	n	n+1	12	n+9	n+7	45	763	15	999	999	999	0	0	1	1	0	1	0	0	0	0	0	3	3	12	-1.338501082
152	Church_Hill	9.88	2	1	1	1	f	1		grid algebra	0	3c	4c	2a	4b	3c	4b	10	13	5	12	10	12	1	1	1	0	25	18	1	1	1	2	1	1	1	1	1	1	1.1	n	n+7	12	9	7	45	761	14	a=3	u=4	m=35	0	0	1	0	0	1	1	0	1	1	0	5	5	16	2.093349872
153	Church_Hill	9.92	2	1	1	1	m	0		migen	1	3c	4b	2b	3a	3c	4c	10	12	6	8	10	13	1	1	1	0	28	19	1	1	1	1	2	1	1	1	1	1	1.1	n-7	n+4	12	12	37	45	761	13	a=3	v=4	m=35	1	1	1	0	0	1	1	0	1	0	0	6	6	15	0.821564317
155	Church_Hill	9.59	2	1	1	1	f	1		grid algebra	0	2b	3b	2a	3a	3c	4c	6	9	5	8	10	13	1	1	1	0	18	11	1	1	1	1	2	1	1	2	1	2	1.3	n	n+4	n12	n9	n7	46	n-246	12	a=3	u=4	m=8	0	1	0	0	0	0	0	0	1	1	0	3	3	16	-0.853395659
156	Hugglescote	9.98	3	1	1	1	m	0		grid algebra	0	3c	5c	3c	4a	3c	5c	10	16	10	11	10	16	1	1	1	0	30	23	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	12	9	7	45	761	12	a=3	u=4	m=8	1	1	1	0	0	1	1	0	1	1	0	7	7	18	1.032937737
157	Hugglescote	10.36	3	1	1	1	m	0		grid algebra	0	3c	4b	2a	4c	2a	4b	10	12	5	13	5	12	1	1	1	0	26	21	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	12	n+9	7n	45	763	999	a=3	u=4	m=8	1	1	1	1	0	1	0	0	1	1	0	7	7	11	1.235909772
158	Hugglescote	9.79	3	1	1	1	f	1		grid algebra	0	2a	3a	2b	3a	2b	4c	5	8	6	8	6	13	1	1	1	0	24	17	1	1	2	2	2	1	1	1	1	1	1.3	n	n7	84	n+5+4	3n+4	45	761	10	a=3	u=2	m=3	0	0	0	1	1	1	1	0	1	0	0	5	5	13	-0.072678971
159	Hugglescote	10.28	3	1	1	1	f	1		grid algebra	0	3c	5c	3c	4a	3c	5c	10	16	10	11	10	16	1	1	1	0	28	25	1	1	1	2	1	1	1	1	1	1	1.1	n	n+4	12	999	999	45	761	999	a=3	u=4	m=8	0	1	1	0	0	1	1	0	1	1	0	6	6	16	0.457295312
160	Hugglescote	9.49	3	1	1	1	f	1		grid algebra	0	2c	3b	2b	3a	2a	4c	7	9	6	8	5	13	1	1	1	0	21	18	1	1	1	1	1	1	1	1	1	1	1	n	n+4	12	n+9	7n	45	763	9	a=8	999	999	0	1	1	1	0	1	0	0	0	0	0	4	4	15	1.137836032
161	Hugglescote	9.65	3	1	1	1	m	0		grid algebra	0	2c	3b	2b	3c	2b	3a	7	9	6	10	6	8	1	1	1	0	18	12	1	3	1	2	4	1	1	4	1	3	2.1	n-7	n+4	999	999	999	45	761	13	a=5	v=1	n=4	1	1	0	0	0	1	1	0	0	0	0	4	4	11	-2.031053666
162	Hugglescote	10.29	3	1	1	1	f	1		grid algebra	0	2c	3b	2b	3b	2b	4c	7	9	6	9	6	13	1	1	1	0	26	14	1	1	1	1	1	1	1	1	1	2	1.1	n-7	n+4	12	n+9	7n	45	763	13	6+3	999	999	1	1	1	1	0	1	0	0	0	0	0	5	5	12	1.24375885
163	Hugglescote	10.29	3	1	1	1	f	1		grid algebra	0	2b	3b	2b	3b	2b	3a	6	9	6	9	6	8	1	1	1	0	24	15	1	1	2	2	2	1	1	2	2	1	1.5	n+4	n-3	12	n+9	7n	45	761	a	a=3	999	999	0	0	1	1	0	1	1	0	1	0	0	5	5	13	1.096087904
164	Hugglescote	10.4	3	1	1	1	m	0		grid algebra	0	2a	3b	2a	4c	2a	3a	5	9	5	13	5	8	1	1	1	0	17	16	1	1	2	3	2	1	1	4	2	2	1.9	n-7	n+4	8+4	n+5+4	3n+4	45	761	12	a=3	999	m=2	1	1	1	1	1	1	1	0	1	0	0	8	8	16	-0.047927609
165	Hugglescote	9.72	3	1	1	1	m	0		grid algebra	0	3c	4c	2b	3b	3c	3a	10	13	6	9	10	8	1	1	1	0	19	23	1	1	1	1	2	1	1	1	1	1	1.1	n-7	n+4	12	n+5+4	3n+4	45	761	15	a=3	u=26	m=15	1	1	1	1	1	1	1	0	1	0	0	8	8	12	0.691945546
166	Hugglescote	9.85	3	1	1	1	f	1		grid algebra	0	2a	4a	2a	4a	2a	4a	5	11	5	11	5	11	1	1	1	0	30	21	1	1	1	2	1	1	1	1	1	2	1.2	n-7	n+4	999	n+5+4	3n+4	45	761	12	a=3	u=4	m=38	1	1	0	1	1	1	1	0	1	1	0	8	8	17	1.802291252
167	Hugglescote	9.73	3	1	1	1	m	0		grid algebra	0	2a	3a	2b	4c	2a	4c	5	8	6	13	5	13	1	1	1	0	16	11	2	2	5	5	1	5	1	5	5	1	3.2	n-n-7-n-3	n+1-n+4	8	999	999	45	761	16	999	999	m=12	0	0	0	0	0	1	1	0	0	0	0	2	2	12	0.514393126
168	Hugglescote	9.87	3	1	1	1	f	1		grid algebra	0	2a	4b	2a	3a	2a	4c	5	12	5	8	5	13	1	1	1	0	25	21	1	1	1	2	2	1	1	2	1	2	1.4	n-7	n+4	12	n+5+4	7n	45	763	15	a=3	u=4	m=5	1	1	1	1	0	1	0	0	1	1	0	7	7	14	2.076666423
169	Hugglescote	9.75	3	1	1	1	f	1		grid algebra	0	2a	3a	2a	4c	3c	4b	5	8	5	13	10	12	1	1	1	0	24	20	1	1	1	1	2	1	1	1	1	1	1.1	n-3	n+4	12	n+5+4	7n	45	1008	999	a=2	u=4	m=8	0	1	1	1	0	1	0	0	0	1	0	5	5	16	1.04061079
170	Hugglescote	10.32	3	1	1	1	f	1		grid algebra	0	3c	4c	3c	4a	3c	5c	10	13	10	11	10	16	1	1	1	0	27	16	1	1	1	1	2	1	1	1	1	1	1.1	n-7	n+4	12	13	38	46	999	15	a=3	4	35	1	1	1	0	0	0	0	0	1	0	0	4	4	20	2.241610115
171	Hugglescote	10.45	3	1	1	1	m	0		grid algebra	0	3c	4a	3c	4b	3c	4a	10	11	10	12	10	11	1	1	1	0	24	23	1	1	1	1	2	1	1	1	1	1	1.1	n-7	n+4	12	n9	7n	45	761	12	a=3	4	m=8	1	1	1	0	0	1	1	0	1	0	0	6	6	12	0.680286257
172	Hugglescote	9.97	3	1	1	1	f	1		grid algebra	0	3c	3a	2a	3a	2a	3a	10	8	5	8	5	8	1	1	1	0	31	12	2	3	2	3	1	1	1	2	1	2	1.8	n-7	n+4	8+4	n+5+4	3n+4	45	763	9	a=3	u=0	m=2	1	1	1	1	1	1	0	0	1	0	0	7	7	11	1.339214721
173	Hugglescote	10.42	3	1	1	1	m	0		grid algebra	0	2b	3a	1b	2b	1b	3b	6	8	3	6	3	9	1	1	1	0	21	11	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	999	999	999	45	761	999	999	999	999	1	1	0	0	0	1	1	0	0	0	0	4	4	10	-0.65859602
174	Hugglescote	10.34	3	1	1	1	m	0		grid algebra	0	3c	4b	3c	4b	3c	4c	10	12	10	12	10	13	1	1	1	0	17	17	1	1	1	2	1	1	1	1	1	1	1.1	n-7	n+4	8+4	n+5+4	3n+4	45	761	9	a=3	u=2	3n=3	1	1	1	1	1	1	1	0	1	0	0	8	8	13	1.174947845
175	Hugglescote	9.84	3	1	1	1	f	1		grid algebra	0	3c	4b	3c	4a	3c	4a	10	12	10	11	10	11	1	1	1	0	27	20	1	1	2	2	1	1	1	2	1	2	1.4	n-3	n+4	12	17	7	45	131	11	a=3	u=4	m=8	0	1	1	0	0	1	0	0	1	1	0	5	5	19	1.429153566
176	Hugglescote	9.64	3	1	1	1	f	1		grid algebra	0	2a	3a	2b	3a	3c	4b	5	8	6	8	10	12	1	1	1	0	29	23	1	2	1	3	4	3	2	2	4	4	2.6	n	n+4	8+4	n+5+4	3n+4	45	761	9	a=3	u=any number	999	0	1	1	1	1	1	1	0	1	0	0	7	7	13	1.509817273
177	Hugglescote	9.55	3	1	1	1	f	1		grid algebra	0	2a	3a	2a	4c	3c	4c	5	8	5	13	10	13	1	1	1	0	26	15	1	1	1	1	2	1	1	1	1	1	1.1	n	n+4	8+4	n+5+4	3n+4	45	761	9	999	999	999	0	1	1	1	1	1	1	0	0	0	0	6	6	18	1.019757124
178	Hugglescote	9.49	3	1	1	1	f	1		grid algebra	0	2b	4c	2b	3b	2a	3b	6	13	6	9	5	9	1	1	1	0	23	13	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	12	n	3	45	763	999	a=3	u=2	999	1	1	1	0	0	1	0	0	1	0	0	5	5	16	0.745721603
179	Hugglescote	9.91	3	1	1	1	m	0		migen	1	3c	4b	3c	4c	3c	4b	10	12	10	13	10	12	1	1	1	0	28	22	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	12	n+9	7n	45	761	12	a+6=9	999	999	1	1	1	1	0	1	1	0	1	0	0	7	7	18	0.881565849
180	Hugglescote	10.43	3	1	1	1	m	0		migen	1	2a	3a	1a	2b	2b	3a	5	8	2	6	6	8	1	1	1	0	28	16	1	2	1	1	2	1	1	1	1	1	1.2	n-7	n+4	999	999	999	45	761	9	999	999	999	1	1	0	0	0	1	1	0	0	0	0	4	4	9	-1.694840302
181	Hugglescote	10.26	3	1	1	1	m	0		migen	1	2a	4c	2a	3b	3c	3a	5	13	5	9	10	8	1	1	1	0	23	17	1	1	1	1	1	1	1	3	1	1	1.2	n-7	n+4	12	n+9	7n	45	761	9	a=3	999	999	1	1	1	1	0	1	1	0	1	0	0	7	7	16	-0.38655126
182	Hugglescote	10.35	3	1	1	1	f	1		migen	1	2b	3b	2a	3a	3c	4b	6	9	5	8	10	12	1	1	1	0	27	15	1	1	1	1	2	1	1	1	1	1	1.1	n-7	n+4	8+4	n+4	n+4	45	761	12	You would have thought it would be higher	u is just adding 2	just adding 2	1	1	1	0	0	1	1	0	0	0	0	5	5	16	0.137506641
183	Hugglescote	9.73	3	1	1	1	m	0		migen	1	3c	5c	2a	4c	3c	4b	10	16	5	13	10	12	1	1	1	0	29	25	1	1	2	1	2	1	1	2	1	1	1.3	n-7	n+4	12	10	7n	45	761	13	a=3	u=1	m=7	1	1	1	0	0	1	1	0	1	0	0	6	6	11	-0.113672644
184	Hugglescote	9.49	3	1	1	1	f	1		migen	1	2a	3a	2b	3a	2a	3a	5	8	6	8	5	8	1	1	1	0	22	15	1	1	1	2	1	3	1	1	1	2	1.4	n	n+4	16	m+1	7	45	246	16	it doesnÍt seem right	I think I understand	I get it	0	1	0	0	0	1	0	0	0	0	0	2	2	16	0.385552522
185	Hugglescote	9.71	3	1	1	1	m	0		migen	1	2a	3b	2b	3a	2a	4b	5	9	6	8	5	12	1	1	1	0	20	17	1	1	1	1	3	1	1	1	1	1	1.2	n-3	n+4	12	9n	7n	45	763	999	999	999	999	0	1	1	0	0	1	0	0	0	0	0	3	3	10	-0.473084978
186	Hugglescote	10.17	3	1	1	1	m	0		migen	1	2a	4c	2a	3a	2a	4b	5	13	5	8	5	12	1	1	1	0	25	19	1	2	1	3	1	1	1	1	1	1	1.3	n-7	n+4	n+8	n+9	n+7	45	763	12	a=3	999	999	1	1	0	1	0	1	0	0	1	0	0	5	5	16	1.337112449
187	Hugglescote	9.73	3	1	1	1	m	0		migen	1	2a	4c	2a	3a	2a	3a	5	13	5	8	5	8	1	1	1	0	22	14	3	1	1	2	4	1	1	2	5	2	2.2	n-7	n+4	n+8	n+9	n+7	45	755	17	that is wrong	999	2n=8	1	1	0	1	0	1	0	0	0	0	0	4	4	13	0.5431993
188	Hugglescote	10.15	3	1	1	1	m	0		migen	1	3c	4b	2a	4b	3c	4b	10	12	5	12	10	12	1	1	1	0	24	14	1	1	2	1	1	1	1	1	1	1	1.1	n+1	n-7	12	9	7	45	761	n	a=3	999	999	0	0	1	0	0	1	1	0	1	0	0	4	4	19	-0.730419707
189	Hugglescote	10.44	3	1	1	1	m	0		migen	1	2a	4b	3c	4c	3c	4b	5	12	10	13	10	12	1	1	1	0	23	17	1	1	1	1	1	1	1	2	1	1	1.1	n-7	n	12	n+9	999	45	763	12	a=3	u=4	m=8	1	0	1	1	0	1	0	0	1	1	0	6	6	16	-0.33696346
190	Hugglescote	10.35	3	1	1	1	m	0		migen	1	3c	4a	3c	4b	3c	4a	10	11	10	12	10	11	1	1	1	0	28	20	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	12	15	30	45	761	10	a=3	u=4	m=13	1	1	1	0	0	1	1	0	1	1	1	8	8	14	0.420779864
191	Hugglescote	9.49	3	1	1	1	f	1		migen	1	2b	4c	2c	3b	2b	3a	6	13	7	9	6	8	1	1	1	0	27	16	1	1	1	1	2	1	1	1	1	1	1.1	n-7	n	8+n	5+n	3+n	42	761	12	a=3	v=1	m=4n	1	0	0	0	0	0	1	0	1	0	0	3	3	12	-0.489377502
192	Hugglescote	9.57	3	1	1	1	m	0		migen	1	3c	4a	3c	4b	3c	4b	10	11	10	12	10	12	1	1	1	0	27	21	1	1	1	1	1	1	1	2	1	2	1.2	n-7	n+4	12	999	999	45	761	12	"a=3, a=2"	u=1	3n=34	1	1	1	0	0	1	1	0	0	0	0	5	5	9	0.99567178
193	Hugglescote	10.39	3	1	1	1	m	0		migen	1	2a	4c	3c	4c	2a	4b	5	13	10	13	5	12	1	1	1	0	23	20	1	1	1	2	1	1	1	3	1	3	1.5	999	999	999	999	999	45	763	999	a=3	999	999	0	0	0	0	0	1	0	0	1	0	0	2	2	18	-0.998946121
194	Hugglescote	10.34	3	1	1	1	f	1		migen	1	3c	4c	3c	4b	3c	4b	10	13	10	12	10	12	1	1	1	0	24	15	1	3	2	3	4	1	1	1	1	1	1.8	n-3	n+4	8+n	5+n	3+n	45	761	11	999	999	999	0	1	0	0	0	1	1	0	0	0	0	3	3	19	0.307567416
195	Hugglescote	9.58	3	1	1	1	f	1		migen	1	2b	3a	2a	4c	3c	4b	6	8	5	13	10	12	1	1	1	0	26	18	1	1	2	1	1	1	1	1	1	1	1.1	n	n+4	12	999	999	45	761	10	999	999	999	0	1	1	0	0	1	1	0	0	0	0	4	4	18	0.376348918
196	Hugglescote	9.84	3	1	1	1	f	1		migen	1	3c	4a	3c	4c	2a	4b	10	11	10	13	5	12	1	1	1	0	31	22	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	12	999	7	45	761	12	a=3	its weird	donÍt know	1	1	1	0	0	1	1	0	1	0	0	6	6	16	0.137118305
197	Hugglescote	9.78	3	1	1	1	f	1		migen	1	2b	3a	2b	3b	2b	3a	6	8	6	9	6	8	1	1	1	0	26	10	1	2	2	1	1	2	1	1	1	1	1.3	n-7	n	12	999	999	45	761	12	a=3	999	999	1	0	1	0	0	1	1	0	1	0	0	5	5	9	-1.33648576
198	Hugglescote	10.43	3	1	1	1	m	0		migen	1	999	3a	2c	3b	2c	3b	999	8	7	9	7	9	1	1	1	0	27	19	2	3	3	4	5	2	2	3	2	4	3	n-7	n+4	999	999	999	45	761	14	a=1.5	999	999	1	1	0	0	0	1	1	0	0	0	0	4	4	11	-0.780012548
199	Hugglescote	9.76	3	1	1	1	m	0		migen	1	3c	4c	2a	3a	3c	4b	10	13	5	8	10	12	1	1	1	0	32	15	1	1	2	2	1	1	1	3	1	2	1.5	n-7	n+4	12	9	7	45	761	12	a=3	u=4	m=8	1	1	1	0	0	1	1	0	1	1	0	7	7	15	0.967734709
200	Rothley	9.86	4				f	1	5 KC	grid algebra	0	2a	3a	2b	3b	2a	4b	5	8	6	9	5	12	1	1	1	0	26	11	2	2	1	3	1	1	1	1	1	2	1.5	n-3	n+4	12	13	12	45	761	14	a=3	v=4	m=5	0	1	1	0	0	1	1	0	1	0	0	5	5	15	0.333059655
