judge,candidate_chosen,candidate_not_chosen,TimeTaken,Internal,DateCreated
zjnzjlcnzjla,1333_alltaskscropped,1894_alltaskscropped,75,TRUE,10/03/201713:09:00
zjnzjlcnzjla,656_alltaskscropped,337_alltaskscropped,78,TRUE,10/03/201713:55:00
zjnzjlcnzjla,549_alltaskscropped,274_alltaskscropped,79,TRUE,10/03/201713:52:00
zjnzjlcnzjla,1065_alltaskscropped,1720_alltaskscropped,82,undefined,14/02/201712:54:00
zjnzjlcnzjla,343_alltaskscropped,526_alltaskscropped,85,TRUE,10/03/201711:39:00
zjnzjlcnzjla,1220_alltaskscropped,283_alltaskscropped,87,TRUE,28/02/201713:41:00
zjnzjlcnzjla,291_alltaskscropped,1331_alltaskscropped,87,TRUE,10/03/201712:12:00
zjnzjlcnzjla,972_alltaskscropped,1406_alltaskscropped,89,TRUE,28/02/201714:08:00
zjnzjlcnzjla,1503_alltaskscropped,471_alltaskscropped,9,undefined,15/02/201710:59:00
zjnzjlcnzjla,738_alltaskscropped,72_alltaskscropped,9,TRUE,10/03/201711:14:00
zjnzjlcnzjla,1245_alltaskscropped,1170_alltaskscropped,91,undefined,15/02/201714:59:00
zjnzjlcnzjla,234_alltaskscropped,42_alltaskscropped,91,TRUE,28/02/201713:44:00
zjnzjlcnzjla,700_alltaskscropped,1589_alltaskscropped,92,TRUE,10/03/201711:18:00
zjnzjlcnzjla,809_alltaskscropped,672_alltaskscropped,92,TRUE,10/03/201712:21:00
zjnzjlcnzjla,436_alltaskscropped,834_alltaskscropped,92,undefined,15/02/201714:52:00
zjnzjlcnzjla,58_alltaskscropped,530_alltaskscropped,94,undefined,14/02/201712:51:00
zjnzjlcnzjla,796_alltaskscropped,1367_alltaskscropped,94,undefined,15/02/201714:27:00
zjnzjlcnzjla,978_alltaskscropped,1259_alltaskscropped,95,undefined,15/02/201710:38:00
zjnzjlcnzjla,1411_alltaskscropped,1301_alltaskscropped,98,TRUE,10/03/201713:09:00
zjnzjlcnzjla,1283_alltaskscropped,306_alltaskscropped,98,TRUE,10/03/201713:49:00
zjnzjlcnzjla,1458_alltaskscropped,810_alltaskscropped,99,TRUE,10/03/201713:50:00
zjnzjlcnzjla,1852_alltaskscropped,1269_alltaskscropped,99,TRUE,28/02/201713:41:00
zjnzjlcnzjla,54_alltaskscropped,274_alltaskscropped,99,TRUE,28/02/201713:41:00
zjnzjlcnzjla,351_alltaskscropped,1097_alltaskscropped,99,TRUE,10/03/201713:55:00
zjnzjlcnzjla,1253_alltaskscropped,70_alltaskscropped,101,undefined,14/02/201712:50:00
zjnzjlcnzjla,1216_alltaskscropped,312_alltaskscropped,101,undefined,14/02/201712:54:00
zjnzjlcnzjla,2005_alltaskscropped,288_alltaskscropped,102,undefined,15/02/201711:00:00
zjnzjlcnzjla,768_alltaskscropped,649_alltaskscropped,102,TRUE,10/03/201712:21:00
zjnzjlcnzjla,1723_alltaskscropped,1192_alltaskscropped,103,undefined,15/02/201714:53:00
zjnzjlcnzjla,209_alltaskscropped,496_alltaskscropped,103,TRUE,10/03/201711:39:00
zjnzjlcnzjla,848_alltaskscropped,654_alltaskscropped,104,TRUE,10/03/201713:56:00
zjnzjlcnzjla,347_alltaskscropped,1635_alltaskscropped,105,undefined,14/02/201712:51:00
zjnzjlcnzjla,1826_alltaskscropped,491_alltaskscropped,105,undefined,15/02/201714:53:00
zjnzjlcnzjla,1811_alltaskscropped,1843_alltaskscropped,105,TRUE,10/03/201713:10:00
zjnzjlcnzjla,1978_alltaskscropped,851_alltaskscropped,107,TRUE,10/03/201713:56:00
zjnzjlcnzjla,1113_alltaskscropped,587_alltaskscropped,108,TRUE,10/03/201713:58:00
zjnzjlcnzjla,1028_alltaskscropped,22_alltaskscropped,108,TRUE,10/03/201711:26:00
zjnzjlcnzjla,271_alltaskscropped,696_alltaskscropped,109,TRUE,10/03/201714:01:00
zjnzjlcnzjla,195_alltaskscropped,1957_alltaskscropped,111,TRUE,10/03/201713:45:00
zjnzjlcnzjla,1446_alltaskscropped,1660_alltaskscropped,112,undefined,15/02/201710:39:00
zjnzjlcnzjla,1072_alltaskscropped,1670_alltaskscropped,113,TRUE,10/03/201711:40:00
zjnzjlcnzjla,1471_alltaskscropped,1325_alltaskscropped,113,undefined,15/02/201710:38:00
zjnzjlcnzjla,367_alltaskscropped,300_alltaskscropped,115,undefined,15/02/201714:24:00
zjnzjlcnzjla,237_alltaskscropped,1473_alltaskscropped,116,undefined,15/02/201714:24:00
zjnzjlcnzjla,239_alltaskscropped,75_alltaskscropped,116,undefined,14/02/201712:55:00
