session,judge,candidate_chosen,candidate_not_chosen
1,37,Coca Cola,Pepsi
1,37,Pepsi Real Sugar,Coca Cola
1,37,RC,Pepsi
1,37,Pepsi Real Sugar,Pepsi
1,37,Pepsi Real Sugar,Mexican Coke
1,38,Sams,Coca Cola
1,38,Mexican Coke,Coca Cola
1,38,Coca Cola,RC
1,38,Pepsi,Coca Cola
1,38,Coca Cola,Pepsi Real Sugar
1,39,Pepsi Real Sugar,Coca Cola
1,39,Pepsi,Coca Cola
1,39,Sams,Pepsi
1,39,Sams,Pepsi Real Sugar
1,39,Pepsi Real Sugar,Mexican Coke
1,40,Coca Cola,Pepsi
1,40,Sams,Coca Cola
1,40,Pepsi,RC
1,40,Coca Cola,Pepsi Real Sugar
1,40,Pepsi Real Sugar,RC
1,41,Coca Cola,Pepsi
1,41,Pepsi,Pepsi Real Sugar
1,41,RC,Pepsi
1,41,Pepsi Real Sugar,Coca Cola
1,41,Mexican Coke,Pepsi Real Sugar
1,42,Sams,Coca Cola
1,42,Pepsi,Pepsi Real Sugar
1,42,Sams,Pepsi
1,42,RC,Pepsi Real Sugar
1,42,Mexican Coke,Sams
1,43,Coca Cola,Sams
1,43,Mexican Coke,Coca Cola
1,43,Coca Cola,RC
1,43,Pepsi,Mexican Coke
1,43,Pepsi,Pepsi Real Sugar
1,44,Coca Cola,Mexican Coke
1,44,Mexican Coke,Pepsi
1,44,Pepsi,Pepsi Real Sugar
1,44,Pepsi Real Sugar,Mexican Coke
1,44,Coca Cola,Sams
1,45,Coca Cola,Pepsi
1,45,Pepsi Real Sugar,Pepsi
1,45,Coca Cola,Pepsi Real Sugar
1,45,Sams,Pepsi Real Sugar
1,45,Coca Cola,Mexican Coke
1,46,Pepsi,Pepsi Real Sugar
1,46,Mexican Coke,Pepsi Real Sugar
1,46,Coca Cola,Sams
1,46,Sams,Pepsi
1,46,Mexican Coke,Sams
1,47,Mexican Coke,Coca Cola
1,47,RC,Coca Cola
1,47,Pepsi,Coca Cola
1,47,Pepsi,RC
1,47,Pepsi Real Sugar,Coca Cola
1,48,Pepsi,Coca Cola
1,48,Pepsi Real Sugar,Coca Cola
1,48,Sams,Coca Cola
1,48,Coca Cola,RC
1,48,Sams,Mexican Coke
1,49,Coca Cola,Mexican Coke
1,49,Coca Cola,RC
1,49,Pepsi Real Sugar,Pepsi
1,49,Coca Cola,Sams
1,49,Sams,Pepsi
1,50,Coca Cola,Mexican Coke
1,50,Coca Cola,RC
1,50,Pepsi,Pepsi Real Sugar
1,50,Sams,Pepsi Real Sugar
1,50,Sams,Coca Cola
1,51,Pepsi Real Sugar,Coca Cola
1,51,Coca Cola,Mexican Coke
1,51,Coca Cola,RC
1,51,Pepsi,Coca Cola
1,51,Pepsi,RC
1,52,Coca Cola,Pepsi
1,52,Sams,Coca Cola
1,52,Sams,Pepsi
1,52,Mexican Coke,Pepsi
1,52,RC,Pepsi
1,53,Mexican Coke,Coca Cola
1,53,RC,Coca Cola
1,53,Pepsi,Coca Cola
1,53,Pepsi,RC
1,53,Coca Cola,Pepsi Real Sugar
1,54,Pepsi,Pepsi Real Sugar
1,54,Sams,Pepsi
1,54,Pepsi,Mexican Coke
1,54,Coca Cola,Pepsi Real Sugar
1,54,Sams,Pepsi Real Sugar
1,55,Sams,Coca Cola
1,55,Pepsi Real Sugar,Pepsi
1,55,Sams,Pepsi
1,55,Mexican Coke,Pepsi
1,55,Mexican Coke,Pepsi Real Sugar
1,56,Pepsi,Coca Cola
1,56,Coca Cola,Pepsi Real Sugar
1,56,Mexican Coke,Pepsi Real Sugar
1,56,Sams,Coca Cola
1,56,Pepsi,Sams
1,57,Pepsi Real Sugar,Coca Cola
1,57,Mexican Coke,Coca Cola
1,57,RC,Coca Cola
1,57,Coca Cola,Pepsi
1,57,Pepsi,RC
1,58,Pepsi,Coca Cola
1,58,Pepsi Real Sugar,Coca Cola
1,58,Coca Cola,Sams
1,58,Sams,Pepsi
1,58,Pepsi,Mexican Coke
1,59,Coca Cola,Pepsi
1,59,Coca Cola,Pepsi Real Sugar
1,59,Sams,Coca Cola
1,59,Sams,Pepsi
1,59,RC,Pepsi Real Sugar
1,60,Pepsi,Coca Cola
1,60,Pepsi,Pepsi Real Sugar
1,60,Pepsi,Mexican Coke
1,60,Coca Cola,Pepsi Real Sugar
1,60,Sams,Pepsi Real Sugar
1,61,Coca Cola,Pepsi Real Sugar
1,61,Coca Cola,Pepsi
1,61,Pepsi,RC
1,61,Pepsi,Pepsi Real Sugar
1,61,Pepsi Real Sugar,Mexican Coke
1,62,Pepsi,Coca Cola
1,62,Coca Cola,Sams
1,62,Pepsi,RC
1,62,Pepsi,Pepsi Real Sugar
1,62,Pepsi,Sams
1,63,RC,Coca Cola
1,63,Coca Cola,Pepsi
1,63,Pepsi,RC
1,63,Pepsi Real Sugar,Coca Cola
1,63,Pepsi,Pepsi Real Sugar
1,64,Pepsi,Coca Cola
1,64,Sams,Coca Cola
1,64,Pepsi,RC
1,64,Pepsi,Pepsi Real Sugar
1,64,RC,Pepsi Real Sugar
1,65,Pepsi,Coca Cola
1,65,Pepsi Real Sugar,Coca Cola
1,65,Pepsi Real Sugar,Pepsi
1,65,Pepsi,Sams
1,65,Pepsi Real Sugar,Sams
1,66,Pepsi,Coca Cola
1,66,Sams,Coca Cola
1,66,Pepsi Real Sugar,Pepsi
1,66,Pepsi,Mexican Coke
1,66,Coca Cola,Pepsi Real Sugar
1,67,Coca Cola,Mexican Coke
1,67,Coca Cola,RC
1,67,Pepsi,Pepsi Real Sugar
1,67,Sams,Pepsi
1,67,Pepsi,Mexican Coke
1,68,Pepsi,Coca Cola
1,68,Sams,Coca Cola
1,68,Pepsi,Pepsi Real Sugar
1,68,Coca Cola,Pepsi Real Sugar
1,68,Pepsi Real Sugar,Sams
1,69,Pepsi,Coca Cola
1,69,Coca Cola,Pepsi Real Sugar
1,69,Sams,Pepsi
1,69,Sams,Pepsi Real Sugar
1,69,RC,Pepsi Real Sugar
1,70,Coca Cola,Mexican Coke
1,70,Pepsi,Coca Cola
1,70,Pepsi,Pepsi Real Sugar
1,70,Pepsi,Mexican Coke
1,70,Pepsi Real Sugar,Coca Cola
1,71,Coca Cola,Mexican Coke
1,71,Coca Cola,RC
1,71,Pepsi,Sams
1,71,Mexican Coke,Pepsi
1,71,Coca Cola,Sams
