session,judge,candidate_chosen,candidate_not_chosen
2,59,RC,Pepsi
2,60,Sams,Mexican Coke
2,60,Mexican Coke,Coca Cola
2,60,RC,Mexican Coke
2,60,RC,Coca Cola
2,60,Sams,RC
2,61,Coca Cola,Sams
2,61,Pepsi Real Sugar,Sams
2,61,Mexican Coke,RC
2,61,RC,Pepsi Real Sugar
2,61,Sams,RC
2,62,Sams,RC
2,62,Coca Cola,Mexican Coke
2,62,Mexican Coke,Pepsi
2,62,Sams,Mexican Coke
2,62,RC,Coca Cola
2,63,Pepsi Real Sugar,Mexican Coke
2,63,Sams,Pepsi Real Sugar
2,63,RC,Sams
2,63,RC,Pepsi Real Sugar
2,63,RC,Mexican Coke
2,64,Sams,Pepsi
2,64,RC,Sams
2,64,Mexican Coke,Coca Cola
2,64,Pepsi,Mexican Coke
2,64,Sams,Mexican Coke
2,65,Pepsi Real Sugar,RC
2,65,Mexican Coke,Pepsi Real Sugar
2,65,Mexican Coke,RC
2,65,Coca Cola,RC
2,65,RC,Pepsi
2,66,Pepsi Real Sugar,RC
2,66,Mexican Coke,Sams
2,66,RC,Sams
2,66,Pepsi Real Sugar,Mexican Coke
2,66,Pepsi,RC
2,67,Sams,Coca Cola
2,67,Sams,Mexican Coke
2,67,RC,Mexican Coke
2,67,Pepsi,RC
2,67,Sams,RC
2,68,RC,Pepsi Real Sugar
2,68,Sams,Mexican Coke
2,68,RC,Sams
2,68,Pepsi Real Sugar,Mexican Coke
2,68,Pepsi,RC
2,69,Coca Cola,Mexican Coke
2,69,Mexican Coke,Pepsi Real Sugar
2,69,Mexican Coke,RC
2,69,RC,Coca Cola
2,69,Pepsi,RC
2,70,Sams,Coca Cola
2,70,Mexican Coke,Sams
2,70,RC,Pepsi
2,70,RC,Pepsi Real Sugar
2,70,Sams,RC
2,71,Sams,Pepsi Real Sugar
2,71,Sams,Mexican Coke
2,71,Sams,RC
2,71,Pepsi Real Sugar,Mexican Coke
2,71,RC,Mexican Coke
2,72,Pepsi,Mexican Coke
2,72,Sams,Mexican Coke
2,72,Mexican Coke,RC
2,72,Coca Cola,RC
2,72,Sams,RC
2,73,Sams,Pepsi
2,73,Pepsi Real Sugar,Sams
2,73,Pepsi,Mexican Coke
2,73,RC,Pepsi Real Sugar
2,73,RC,Mexican Coke
2,74,Coca Cola,Sams
2,74,Sams,Pepsi Real Sugar
2,74,Mexican Coke,Sams
2,74,Pepsi Real Sugar,Mexican Coke
2,74,Mexican Coke,RC
2,75,RC,Pepsi Real Sugar
2,75,Pepsi,Sams
2,75,Sams,Pepsi Real Sugar
2,75,Mexican Coke,Pepsi Real Sugar
2,75,Sams,RC
2,76,Sams,Pepsi
2,76,Coca Cola,Mexican Coke
2,76,Mexican Coke,Pepsi
2,76,Sams,Mexican Coke
2,76,Sams,RC
2,77,Mexican Coke,Pepsi Real Sugar
2,77,Pepsi,RC
2,77,Pepsi Real Sugar,RC
2,77,RC,Sams
2,77,Mexican Coke,RC
2,78,Mexican Coke,Sams
2,78,Mexican Coke,Coca Cola
2,78,RC,Mexican Coke
2,78,RC,Coca Cola
2,78,RC,Pepsi Real Sugar
2,79,Pepsi,Sams
2,79,Mexican Coke,Sams
2,79,RC,Sams
2,79,Pepsi,Mexican Coke
2,79,Mexican Coke,RC
2,80,Mexican Coke,Pepsi Real Sugar
2,80,RC,Pepsi Real Sugar
2,80,RC,Sams
2,80,Mexican Coke,RC
2,80,RC,Coca Cola
2,81,Sams,Pepsi
2,81,Sams,Pepsi Real Sugar
2,81,Mexican Coke,Pepsi
2,81,RC,Mexican Coke
2,81,RC,Pepsi Real Sugar
2,82,Coca Cola,Mexican Coke
2,82,Mexican Coke,Pepsi Real Sugar
2,82,Mexican Coke,Sams
2,82,Mexican Coke,RC
2,82,RC,Coca Cola
2,83,Coca Cola,Mexican Coke
2,83,Mexican Coke,Pepsi Real Sugar
2,83,RC,Pepsi
2,83,RC,Pepsi Real Sugar
2,83,RC,Mexican Coke
2,84,Coca Cola,Sams
2,84,Sams,Mexican Coke
2,84,RC,Sams
2,84,Pepsi,RC
2,84,Pepsi Real Sugar,RC
2,85,Pepsi,Sams
2,85,Sams,Mexican Coke
2,85,RC,Sams
2,85,Mexican Coke,Pepsi
2,85,RC,Mexican Coke
2,86,Sams,Pepsi Real Sugar
2,86,RC,Pepsi Real Sugar
2,86,Mexican Coke,Pepsi Real Sugar
2,86,Mexican Coke,Sams
2,86,Sams,RC
2,87,Sams,Pepsi Real Sugar
2,87,Mexican Coke,Pepsi Real Sugar
2,87,RC,Pepsi Real Sugar
2,87,RC,Mexican Coke
2,87,Coca Cola,RC
2,88,Sams,Coca Cola
2,88,Sams,Pepsi
2,88,Sams,Mexican Coke
2,88,Pepsi,Mexican Coke
2,88,Mexican Coke,RC
2,89,Mexican Coke,Pepsi Real Sugar
2,89,Mexican Coke,Sams
2,89,Mexican Coke,RC
2,89,Coca Cola,RC
2,89,Sams,RC
2,90,Sams,Coca Cola
2,90,Sams,Mexican Coke
2,90,RC,Sams
2,90,RC,Pepsi
2,90,RC,Pepsi Real Sugar
2,91,Pepsi,Sams
2,91,Mexican Coke,Coca Cola
2,91,Sams,Mexican Coke
2,91,Mexican Coke,RC
2,91,RC,Sams
2,92,Sams,Pepsi Real Sugar
2,92,RC,Sams
2,92,Mexican Coke,Pepsi Real Sugar
2,92,Mexican Coke,Sams
2,92,Mexican Coke,RC
2,93,Sams,Pepsi Real Sugar
2,93,Sams,Pepsi
2,93,Mexican Coke,Sams
2,93,RC,Pepsi Real Sugar
2,93,Sams,RC
2,94,Mexican Coke,Pepsi Real Sugar
2,94,RC,Coca Cola
2,94,RC,Pepsi
2,94,Sams,RC
2,94,RC,Mexican Coke
2,95,Pepsi,RC
2,95,Sams,Pepsi Real Sugar
2,95,Mexican Coke,Pepsi Real Sugar
2,95,Sams,Mexican Coke
2,95,RC,Mexican Coke
2,96,Sams,Pepsi Real Sugar
2,96,Sams,Mexican Coke
2,96,Coca Cola,Mexican Coke
2,96,RC,Coca Cola
2,96,Pepsi,RC
2,97,Pepsi Real Sugar,Mexican Coke
2,97,Coca Cola,RC
2,97,RC,Pepsi
2,97,Sams,RC
2,97,RC,Mexican Coke
2,98,Sams,Pepsi
2,98,Sams,Mexican Coke
2,98,RC,Pepsi
2,98,RC,Pepsi Real Sugar
2,98,RC,Sams
2,99,Pepsi,RC
2,99,Sams,Pepsi Real Sugar
2,99,Pepsi,Sams
2,99,Mexican Coke,Sams
2,99,RC,Mexican Coke
2,100,Coca Cola,Sams
2,100,Sams,Pepsi Real Sugar
2,100,Sams,RC
2,100,Sams,Mexican Coke
2,100,RC,Coca Cola
