session,judge,candidate_chosen,candidate_not_chosen,time_taken
study2-simple,6278,159,169,17
study2-simple,6278,179,124,13
study2-simple,5705,139,174,26
study2-simple,5705,154,129,11
study2-simple,5705,149,164,7
study2-simple,5705,184,114,21
study2-simple,5705,119,169,12
study2-simple,5705,159,124,9
study2-simple,5705,179,134,10
study2-simple,5705,144,139,14
study2-simple,5705,154,174,9
study2-simple,5705,179,129,6
study2-simple,5705,169,164,11
study2-simple,5403,119,139,18
study2-simple,5403,149,154,161
study2-simple,5403,114,184,16
study2-simple,5403,129,144,16
study2-simple,5403,134,124,40
study2-simple,5403,159,174,16
study2-simple,5403,179,169,6
study2-simple,5403,129,164,6
study2-simple,5403,144,114,5
study2-simple,5403,174,139,13
study2-simple,5403,134,184,7
study2-simple,5403,119,124,3
study2-simple,5403,159,154,6
study2-simple,5403,149,169,4
study2-simple,5403,179,164,11
study2-simple,5403,119,184,3
study2-simple,5403,149,124,4
study2-simple,5403,144,159,7
study2-simple,5403,114,154,6
study2-simple,5403,129,174,7
study2-simple,5403,134,139,5
study2-simple,6207,144,154,218
study2-simple,6207,129,169,132
study2-simple,6207,114,159,144
study2-simple,6207,119,134,64
study2-simple,6207,139,174,96
study2-simple,6207,149,184,31
study2-simple,6207,124,164,35
study2-simple,6207,139,179,173
study2-simple,6207,119,114,5
study2-simple,6207,129,159,56
study2-simple,6207,154,169,19
study2-simple,6207,164,174,89
study2-simple,6207,179,134,55
study2-simple,6207,124,184,73
study2-simple,6207,144,149,25
study2-simple,6207,129,179,114
study2-simple,6207,149,174,8
study2-simple,6207,124,144,6
study2-simple,6207,134,114,9
study2-simple,6207,139,159,21
study2-simple,6207,184,164,32
study2-simple,6207,119,169,4
study2-simple,6207,114,154,6
study2-simple,6207,154,184,6
study2-simple,6207,119,144,3
study2-simple,6684,129,134,51
study2-simple,6684,159,164,9
study2-simple,6684,149,124,30
study2-simple,6684,139,179,75
study2-simple,6684,169,174,81
study2-simple,6684,154,119,50
study2-simple,6684,144,114,27
study2-simple,6684,164,184,80
study2-simple,6684,149,169,11
study2-simple,6684,179,134,8
study2-simple,6684,159,139,16
study2-simple,6684,129,124,5
study2-simple,6684,174,184,6
study2-simple,6684,144,119,16
study2-simple,6684,154,114,3
study2-simple,6684,169,179,6
study2-simple,6684,159,129,5
study2-simple,6684,164,124,4
study2-simple,6684,149,174,4
study2-simple,6684,139,134,14
study2-simple,6684,154,184,2
study2-simple,6684,114,119,21
study2-simple,6657,129,134,42
study2-simple,6657,159,164,36
study2-simple,6657,139,169,44
study2-simple,6657,149,174,38
study2-simple,6657,179,144,22
study2-simple,6657,179,144,348
study2-simple,6657,184,124,6
study2-simple,6657,119,154,36
study2-simple,6657,114,124,13
study2-simple,6657,159,149,15
study2-simple,6657,129,169,11
study2-simple,6657,134,139,28
study2-simple,6657,174,164,14
study2-simple,6657,119,114,12
study2-simple,6657,154,184,6
study2-simple,6657,159,124,10
study2-simple,6657,149,134,13
study2-simple,6657,129,179,11
study2-simple,6657,144,169,4
study2-simple,6657,139,174,4
study2-simple,6657,119,164,6
study2-simple,6657,114,184,9
study2-simple,6657,154,139,279
study2-simple,6657,174,179,9
study2-simple,6657,149,169,10
study2-simple,3076,159,164,76
study2-simple,6792,129,144,122
study2-simple,6792,134,149,92
study2-simple,6792,119,124,47
study2-simple,6792,184,154,51
study2-simple,6792,179,169,61
study2-simple,6792,139,114,163
study2-simple,6792,159,174,31
study2-simple,6792,134,164,60
study2-simple,6792,149,129,18
study2-simple,6792,124,144,17
study2-simple,6792,169,174,19
study2-simple,6792,179,154,12
study2-simple,6792,119,114,18
study2-simple,6792,184,139,9
study2-simple,6792,159,164,17
study2-simple,6792,134,124,4
study2-simple,6792,149,144,8
study2-simple,6792,184,129,11
study2-simple,6792,159,154,8
study2-simple,6153,114,124,47
study2-simple,6153,149,169,26
study2-simple,6153,134,174,39
study2-simple,6153,119,164,39
study2-simple,6153,179,144,27
study2-simple,6153,129,139,58
study2-simple,6153,159,184,9
study2-simple,6153,154,169,31
study2-simple,6153,124,164,28
study2-simple,5358,134,129,34
study2-simple,5358,119,144,31
study2-simple,5358,179,139,75
study2-simple,5358,114,174,33
study2-simple,5358,149,154,15
study2-simple,5358,184,169,28
study2-simple,5358,124,164,17
study2-simple,5358,149,159,28
study2-simple,6800,179,139,48
study2-simple,6800,129,174,128
study2-simple,6800,119,144,14
study2-simple,6800,114,134,13
study2-simple,6800,149,159,10
study2-simple,6800,154,169,5
study2-simple,6800,184,124,13
study2-simple,6800,179,164,10
study2-simple,6800,134,174,8
study2-simple,6800,129,119,8
study2-simple,6800,144,139,4
study2-simple,6800,114,164,5
study2-simple,6800,149,184,9
study2-simple,6800,124,159,6
study2-simple,6800,169,174,5
study2-simple,6800,154,119,5
study2-simple,6800,114,139,5
study2-simple,6800,129,179,7
study2-simple,6800,144,134,3
study2-simple,6800,169,184,3
study2-simple,6800,124,164,5
study2-simple,6800,154,149,6
study2-simple,6800,129,159,3
study2-simple,6800,179,119,2
study2-simple,6800,139,174,2
study2-simple,5290,134,144,21
study2-simple,5290,114,159,11
study2-simple,5290,184,164,7
study2-simple,5290,179,129,9
study2-simple,5290,119,149,2
study2-simple,5290,154,174,7
study2-simple,5290,124,169,7
study2-simple,5290,144,139,2
study2-simple,5290,134,114,5
study2-simple,5290,119,124,5
study2-simple,5290,179,169,6
study2-simple,5290,164,174,7
study2-simple,5290,184,154,6
study2-simple,5290,159,139,2
study2-simple,5290,129,149,3
study2-simple,5290,144,114,3
study2-simple,5290,179,134,2
study2-simple,5290,119,159,3
study2-simple,5290,129,184,3
