session,judge,candidate_chosen,candidate_not_chosen,time_taken
study2-rigour,5549,157,117,29
study2-rigour,5279,152,137,72
study2-rigour,5549,152,132,25
study2-rigour,5549,162,167,38
study2-rigour,5549,147,182,4
study2-rigour,5549,117,112,3
study2-rigour,5279,167,132,63
study2-rigour,5549,157,127,12
study2-rigour,5549,177,172,5
study2-rigour,5549,142,122,6
study2-rigour,5549,167,137,4
study2-rigour,5549,162,152,11
study2-rigour,5549,157,132,3
study2-rigour,5549,142,172,5
study2-rigour,5279,127,142,81
study2-rigour,5549,127,117,12
study2-rigour,5549,177,182,2
study2-rigour,5549,122,112,6
study2-rigour,5279,147,117,16
study2-rigour,5549,147,132,13
study2-rigour,5549,167,152,4
study2-rigour,5549,162,137,3
study2-rigour,5549,157,182,4
study2-rigour,5549,177,122,3
study2-rigour,5279,157,162,80
study2-rigour,5279,172,112,37
study2-rigour,5279,182,122,35
study2-rigour,5279,162,177,40
study2-rigour,5279,167,172,18
study2-rigour,5279,147,137,58
study2-rigour,5279,142,112,9
study2-rigour,5279,152,127,32
study2-rigour,5279,117,132,13
study2-rigour,6051,157,162,98
study2-rigour,6051,177,117,24
study2-rigour,6051,182,112,68
study2-rigour,6051,132,142,68
study2-rigour,6051,127,167,47
study2-rigour,6051,147,152,74
study2-rigour,6051,122,172,50
study2-rigour,6051,137,142,34
study2-rigour,6051,117,112,12
study2-rigour,6051,157,127,7
study2-rigour,6051,177,132,12
study2-rigour,6051,182,162,5
study2-rigour,6051,167,152,12
study2-rigour,5738,157,182,148
study2-rigour,5738,162,167,188
study2-rigour,5738,132,177,76
study2-rigour,5738,152,172,128
study2-rigour,5738,127,112,20
study2-rigour,5738,147,142,2959
study2-rigour,5738,137,122,134
study2-rigour,5738,117,172,8
study2-rigour,5738,117,122,165
study2-rigour,5738,132,162,20
study2-rigour,5738,152,157,12
study2-rigour,5738,142,182,68
study2-rigour,5738,147,112,11
study2-rigour,5738,127,167,18
study2-rigour,5738,177,137,77
study2-rigour,5738,137,182,7
study2-rigour,5738,142,122,60
study2-rigour,5738,177,167,16
study2-rigour,5738,132,147,14
study2-rigour,5738,127,117,8
study2-rigour,5738,172,112,4
study2-rigour,5738,152,162,4
study2-rigour,5738,157,172,16
study2-rigour,5738,142,162,9
study2-rigour,5738,152,112,4
study2-rigour,5731,117,182,94
study2-rigour,5731,137,132,206
study2-rigour,5731,177,147,59
study2-rigour,5731,127,122,33
study2-rigour,5731,157,167,172
study2-rigour,5333,157,167,159
study2-rigour,5731,152,162,156
study2-rigour,5731,112,172,25
study2-rigour,5731,127,142,46
study2-rigour,5333,127,177,111
study2-rigour,5731,122,177,12
study2-rigour,5731,182,132,6
study2-rigour,5731,117,137,8
study2-rigour,5731,162,147,27
study2-rigour,5731,157,152,7
study2-rigour,5731,167,142,7
study2-rigour,5731,132,172,8
study2-rigour,5333,137,132,146
study2-rigour,5333,182,112,33
study2-rigour,5333,147,122,20
study2-rigour,5333,117,172,58
study2-rigour,5333,152,142,100
study2-rigour,5333,122,162,99
study2-rigour,5333,147,137,20
study2-rigour,5506,157,182,48
study2-rigour,5506,127,112,58
study2-rigour,5506,177,117,20
study2-rigour,5506,167,132,19
study2-rigour,5506,137,172,30
study2-rigour,5506,147,122,17
study2-rigour,5506,152,142,37
study2-rigour,5506,162,117,15
study2-rigour,5506,157,127,9
study2-rigour,5506,177,112,10
study2-rigour,5506,167,182,13
study2-rigour,5506,142,122,3
study2-rigour,5506,152,172,10
study2-rigour,5506,147,137,10
study2-rigour,5506,162,132,11
study2-rigour,5506,127,182,5
study2-rigour,5506,157,177,9
