judge,candidate_chosen,candidate_not_chosen,group
192,2,20,peer1
25,2,97,peer1
96,2,111,peer1
78,2,112,peer1
192,2,144,peer1
29,2,214,peer1
116,3,29,peer1
55,3,29,peer1
228,3,37,peer1
180,3,50,peer1
215,3,137,peer1
121,3,152,peer1
180,3,181,peer1
95,3,190,peer1
111,3,225,peer1
32,4,25,peer1
156,4,86,peer1
95,4,87,peer1
155,4,131,peer1
6,4,142,peer1
72,4,153,peer1
180,4,167,peer1
86,4,187,peer1
150,4,226,peer1
119,6,55,peer1
182,6,95,peer1
99,6,103,peer1
199,6,116,peer1
99,6,171,peer1
140,6,182,peer1
119,6,200,peer1
22,6,203,peer1
182,6,224,peer1
225,7,221,peer1
227,8,22,peer1
140,8,28,peer1
191,8,31,peer1
156,8,63,peer1
176,8,74,peer1
176,8,96,peer1
156,8,122,peer1
56,8,195,peer1
35,8,215,peer1
22,20,55,peer1
192,20,94,peer1
22,20,144,peer1
48,20,157,peer1
134,20,159,peer1
110,20,159,peer1
160,21,29,peer1
46,21,35,peer1
96,21,65,peer1
198,21,89,peer1
116,21,112,peer1
86,21,217,peer1
8,21,227,peer1
91,22,30,peer1
8,22,78,peer1
78,22,111,peer1
3,22,164,peer1
223,22,202,peer1
133,23,43,peer1
22,23,55,peer1
55,23,70,peer1
228,23,88,peer1
146,23,88,peer1
187,23,189,peer1
31,23,209,peer1
223,23,209,peer1
122,23,213,peer1
172,23,218,peer1
31,23,228,peer1
191,24,8,peer1
35,24,108,peer1
86,24,198,peer1
49,24,208,peer1
191,24,224,peer1
51,25,76,peer1
51,25,95,peer1
225,25,95,peer1
50,25,97,peer1
207,25,102,peer1
168,25,114,peer1
140,25,125,peer1
153,25,130,peer1
121,25,180,peer1
29,25,198,peer1
29,25,201,peer1
6,26,2,peer1
25,26,125,peer1
61,26,147,peer1
126,26,176,peer1
134,26,182,peer1
222,27,8,peer1
133,27,72,peer1
122,27,88,peer1
51,27,154,peer1
146,27,171,peer1
74,27,182,peer1
111,27,206,peer1
46,27,223,peer1
46,28,35,peer1
228,28,70,peer1
110,28,94,peer1
46,28,125,peer1
24,28,159,peer1
221,28,164,peer1
132,28,179,peer1
227,29,2,peer1
111,29,30,peer1
146,29,32,peer1
55,29,32,peer1
61,29,92,peer1
189,29,147,peer1
227,29,184,peer1
146,29,209,peer1
108,30,20,peer1
73,30,20,peer1
108,30,99,peer1
91,30,216,peer1
133,31,37,peer1
153,31,44,peer1
191,31,212,peer1
185,31,228,peer1
55,32,23,peer1
151,32,41,peer1
190,32,48,peer1
148,32,71,peer1
181,32,86,peer1
121,32,116,peer1
218,32,180,peer1
218,32,229,peer1
216,33,50,peer1
216,33,56,peer1
207,33,137,peer1
158,33,142,peer1
158,33,148,peer1
39,33,170,peer1
112,33,205,peer1
92,33,205,peer1
48,33,210,peer1
172,34,22,peer1
227,34,22,peer1
172,34,44,peer1
156,34,64,peer1
227,34,78,peer1
22,34,130,peer1
156,34,134,peer1
130,34,180,peer1
153,34,202,peer1
198,35,31,peer1
33,35,43,peer1
72,35,52,peer1
73,35,108,peer1
153,35,128,peer1
172,35,142,peer1
198,35,145,peer1
171,35,149,peer1
199,35,149,peer1
180,35,169,peer1
223,35,171,peer1
74,35,219,peer1
172,35,226,peer1
155,36,65,peer1
150,36,140,peer1
99,36,144,peer1
134,36,159,peer1
71,36,159,peer1
221,36,164,peer1
22,36,184,peer1
24,36,202,peer1
125,37,2,peer1
46,37,21,peer1
228,37,23,peer1
31,37,29,peer1
116,37,32,peer1
99,37,44,peer1
185,37,193,peer1
35,38,103,peer1
95,38,137,peer1
187,38,216,peer1
126,38,220,peer1
198,39,20,peer1
227,39,24,peer1
8,39,24,peer1
190,39,30,peer1
