judge,candidate_chosen,candidate_not_chosen,group
186,63,97,peer2
196,63,108,peer2
184,63,108,peer2
70,63,109,peer2
115,63,126,peer2
62,63,135,peer2
101,63,168,peer2
208,63,182,peer2
230,63,201,peer2
36,63,218,peer2
196,63,228,peer2
169,64,6,peer2
208,64,26,peer2
62,64,69,peer2
214,64,119,peer2
208,64,151,peer2
186,64,164,peer2
214,64,179,peer2
79,64,184,peer2
60,65,35,peer2
161,65,35,peer2
184,65,75,peer2
240,65,78,peer2
135,65,79,peer2
106,65,110,peer2
164,65,176,peer2
161,65,180,peer2
27,65,213,peer2
131,69,76,peer2
197,69,91,peer2
98,69,202,peer2
144,69,211,peer2
87,70,25,peer2
38,70,25,peer2
54,70,33,peer2
34,70,90,peer2
77,70,113,peer2
142,70,128,peer2
203,70,128,peer2
175,70,132,peer2
201,70,189,peer2
94,71,36,peer2
230,71,38,peer2
1,71,43,peer2
53,71,44,peer2
1,71,44,peer2
94,71,76,peer2
174,71,115,peer2
98,71,175,peer2
164,71,203,peer2
98,72,37,peer2
106,72,52,peer2
98,72,69,peer2
42,72,102,peer2
106,72,180,peer2
224,72,191,peer2
54,72,205,peer2
77,72,219,peer2
93,73,99,peer2
36,73,103,peer2
212,73,112,peer2
36,73,154,peer2
188,73,219,peer2
143,73,220,peer2
76,73,227,peer2
197,73,230,peer2
70,74,8,peer2
224,74,22,peer2
54,74,28,peer2
94,74,37,peer2
173,74,73,peer2
77,74,95,peer2
149,74,99,peer2
135,74,169,peer2
149,74,175,peer2
44,74,199,peer2
186,75,3,peer2
131,75,36,peer2
62,75,43,peer2
136,75,87,peer2
184,75,132,peer2
183,75,206,peer2
136,75,223,peer2
21,76,49,peer2
105,76,88,peer2
202,76,130,peer2
65,76,154,peer2
21,76,163,peer2
143,76,230,peer2
174,77,29,peer2
93,77,48,peer2
202,77,94,peer2
123,77,105,peer2
123,77,121,peer2
143,77,131,peer2
152,77,131,peer2
174,77,141,peer2
62,77,184,peer2
186,77,193,peer2
52,77,209,peer2
40,78,112,peer2
40,78,140,peer2
214,78,179,peer2
214,78,184,peer2
65,78,210,peer2
205,79,7,peer2
40,79,210,peer2
98,79,213,peer2
186,86,26,peer2
42,86,32,peer2
226,86,73,peer2
123,86,91,peer2
143,86,96,peer2
226,86,103,peer2
4,86,110,peer2
196,86,124,peer2
204,86,145,peer2
77,86,157,peer2
123,86,182,peer2
42,86,201,peer2
114,87,75,peer2
94,87,76,peer2
188,87,92,peer2
152,87,95,peer2
65,87,103,peer2
94,87,116,peer2
167,87,194,peer2
36,88,23,peer2
224,88,34,peer2
34,88,69,peer2
136,88,91,peer2
175,88,123,peer2
36,88,125,peer2
65,88,199,peer2
44,88,199,peer2
114,88,205,peer2
204,88,217,peer2
141,88,228,peer2
213,89,32,peer2
88,89,55,peer2
135,89,65,peer2
142,89,148,peer2
138,89,210,peer2
194,89,229,peer2
213,89,230,peer2
213,90,41,peer2
209,90,58,peer2
1,90,111,peer2
1,90,157,peer2
102,90,223,peer2
34,90,223,peer2
213,90,229,peer2
141,91,4,peer2
226,91,112,peer2
240,91,140,peer2
226,91,207,peer2
188,91,219,peer2
120,92,65,peer2
44,92,88,peer2
152,92,112,peer2
188,92,123,peer2
93,92,167,peer2
120,92,170,peer2
44,92,187,peer2
57,92,213,peer2
28,93,49,peer2
124,93,148,peer2
37,93,184,peer2
44,93,187,peer2
37,93,190,peer2
149,93,208,peer2
57,93,208,peer2
28,93,208,peer2
54,93,219,peer2
87,94,58,peer2
144,94,157,peer2
184,94,202,peer2
79,95,22,peer2
194,95,39,peer2
4,95,157,peer2
202,95,159,peer2
28,95,184,peer2
205,95,187,peer2
183,95,191,peer2
186,96,22,peer2
208,96,26,peer2
70,96,89,peer2
149,96,92,peer2
184,96,105,peer2
93,96,111,peer2
212,96,134,peer2
204,96,154,peer2
142,96,215,peer2
102,97,44,peer2
220,97,125,peer2
4,97,167,peer2
194,97,171,peer2
2,97,176,peer2
42,97,201,peer2
34,99,69,peer2
197,99,78,peer2
169,99,120,peer2
120,99,152,peer2
149,99,195,peer2
53,99,217,peer2
1,99,217,peer2
106,102,65,peer2
143,102,65,peer2
212,102,112,peer2
184,102,113,peer2
120,102,136,peer2
106,102,195,peer2
42,102,209,peer2
224,103,26,peer2
224,103,110,peer2
186,103,135,peer2
226,103,137,peer2
169,103,163,peer2
40,103,176,peer2
163,103,216,peer2
36,103,218,peer2
184,104,2,peer2
242,104,87,peer2
167,104,87,peer2
60,104,97,peer2
197,104,130,peer2
209,104,147,peer2
161,104,182,peer2
41,104,198,peer2
208,104,209,peer2
208,104,211,peer2
161,104,221,peer2
60,104,221,peer2
106,105,21,peer2
114,105,27,peer2
42,105,32,peer2
220,105,47,peer2
175,105,70,peer2
79,105,86,peer2
106,105,89,peer2
197,105,114,peer2
42,105,154,peer2
60,105,170,peer2
77,105,209,peer2
142,105,218,peer2
123,105,224,peer2
175,105,226,peer2
102,108,20,peer2
54,108,23,peer2
52,108,25,peer2
102,108,35,peer2
42,108,72,peer2
174,108,119,peer2
200,108,151,peer2
101,108,168,peer2
164,108,200,peer2
174,108,225,peer2
62,109,31,peer2
54,109,35,peer2
37,109,46,peer2
37,109,56,peer2
93,109,75,peer2
175,109,102,peer2
76,109,122,peer2
123,109,141,peer2
175,109,221,peer2
138,109,224,peer2
169,110,41,peer2
183,110,57,peer2
183,110,95,peer2
152,110,142,peer2
167,110,182,peer2
147,110,209,peer2
131,110,213,peer2
93,110,230,peer2
205,111,20,peer2
75,111,157,peer2
87,111,216,peer2
203,112,2,peer2
114,112,26,peer2
62,112,39,peer2
79,112,64,peer2
79,112,115,peer2
44,113,93,peer2
214,113,114,peer2
7,113,147,peer2
214,113,210,peer2
4,113,214,peer2
105,114,20,peer2
98,114,20,peer2
144,114,91,peer2
40,114,103,peer2
77,114,147,peer2
214,114,205,peer2
208,114,211,peer2
241,115,32,peer2
70,115,40,peer2
174,115,55,peer2
120,115,170,peer2
141,115,189,peer2
167,115,195,peer2
76,115,200,peer2
105,115,208,peer2
184,115,216,peer2
36,116,23,peer2
209,116,53,peer2
144,116,69,peer2
77,116,89,peer2
123,116,91,peer2
52,116,120,peer2
101,116,163,peer2
141,116,180,peer2
93,119,45,peer2
164,119,71,peer2
131,119,134,peer2
203,119,134,peer2
36,119,136,peer2
7,119,149,peer2
230,119,193,peer2
62,119,200,peer2
142,120,8,peer2
135,120,32,peer2
40,120,47,peer2
65,120,64,peer2
38,120,113,peer2
65,120,191,peer2
152,120,205,peer2
23,121,27,peer2
240,121,33,peer2
142,121,52,peer2
196,121,52,peer2
54,121,152,peer2
220,121,218,peer2
120,122,28,peer2
141,122,95,peer2
101,122,141,peer2
152,122,145,peer2
240,122,159,peer2
57,122,175,peer2
37,122,175,peer2
120,122,195,peer2
27,123,24,peer2
120,123,152,peer2
37,123,163,peer2
204,123,184,peer2
230,123,192,peer2
37,123,208,peer2
52,124,25,peer2
213,124,32,peer2
138,124,40,peer2
89,124,48,peer2
2,124,97,peer2
196,124,108,peer2
213,124,114,peer2
161,124,155,peer2
105,124,163,peer2
89,124,189,peer2
162,125,7,peer2
4,125,74,peer2
115,125,123,peer2
240,125,145,peer2
144,125,181,peer2
162,125,203,peer2
53,125,206,peer2
226,126,23,peer2
76,126,40,peer2
98,126,53,peer2
36,126,63,peer2
226,126,113,peer2
138,126,131,peer2
106,126,152,peer2
27,126,191,peer2
106,126,195,peer2
167,126,208,peer2
76,126,224,peer2
36,126,224,peer2
175,126,224,peer2
23,128,38,peer2
145,128,121,peer2
62,128,176,peer2
138,128,187,peer2
202,130,20,peer2
184,130,29,peer2
23,130,35,peer2
164,130,65,peer2
164,130,120,peer2
135,131,33,peer2
79,131,86,peer2
212,131,96,peer2
135,131,109,peer2
212,131,125,peer2
173,131,130,peer2
79,131,137,peer2
184,131,148,peer2
202,131,191,peer2
4,131,192,peer2
173,131,194,peer2
230,132,29,peer2
167,132,104,peer2
94,132,137,peer2
167,132,147,peer2
142,132,153,peer2
94,132,193,peer2
77,132,205,peer2
45,134,4,peer2
204,134,90,peer2
79,134,184,peer2
65,134,191,peer2
23,135,26,peer2
28,135,36,peer2
163,135,38,peer2
41,135,113,peer2
41,135,147,peer2
23,135,180,peer2
21,135,200,peer2
209,135,227,peer2
120,136,28,peer2
173,136,71,peer2
197,136,75,peer2
105,136,86,peer2
114,136,144,peer2
184,136,181,peer2
230,136,199,peer2
173,136,227,peer2
94,137,4,peer2
101,137,38,peer2
131,137,49,peer2
1,137,99,peer2
53,137,99,peer2
226,137,112,peer2
79,137,115,peer2
230,137,128,peer2
142,137,198,peer2
203,140,2,peer2
213,140,69,peer2
138,140,93,peer2
213,140,111,peer2
87,140,159,peer2
197,140,164,peer2
90,140,181,peer2
203,140,223,peer2
220,141,31,peer2
101,141,38,peer2
131,141,55,peer2
4,141,64,peer2
57,141,77,peer2
174,141,119,peer2
184,141,143,peer2
230,141,146,peer2
240,142,41,peer2
163,142,103,peer2
62,142,169,peer2
120,142,203,peer2
70,142,203,peer2
36,142,224,peer2
38,143,120,peer2
214,143,163,peer2
147,143,198,peer2
138,143,214,peer2
162,144,111,peer2
1,144,148,peer2
53,144,148,peer2
75,144,157,peer2
2,144,163,peer2
2,144,199,peer2
38,144,199,peer2
87,145,140,peer2
162,145,144,peer2
75,145,179,peer2
75,145,181,peer2
45,145,210,peer2
114,146,7,peer2
76,146,73,peer2
105,146,89,peer2
54,146,116,peer2
101,146,136,peer2
1,146,137,peer2
53,146,137,peer2
136,146,141,peer2
136,146,153,peer2
1,146,219,peer2
53,146,219,peer2
145,146,226,peer2
167,147,69,peer2
224,147,111,peer2
41,147,142,peer2
138,147,179,peer2
59,147,210,peer2
105,147,212,peer2
75,148,30,peer2
1,148,30,peer2
45,148,164,peer2
141,148,164,peer2
136,148,223,peer2
142,149,21,peer2
201,149,22,peer2
7,149,43,peer2
204,149,64,peer2
105,149,176,peer2
23,151,34,peer2
162,151,94,peer2
214,151,145,peer2
162,151,203,peer2
21,151,225,peer2
226,152,34,peer2
114,152,39,peer2
