session,judge,candidate_chosen,candidate_not_chosen,time_taken
study2-understanding,5799,170,130,74
study2-understanding,5799,175,125,10
study2-understanding,5799,115,160,6
study2-understanding,5799,185,135,58
study2-understanding,5799,155,140,23
study2-understanding,5799,145,120,10
study2-understanding,5799,180,175,24
study2-understanding,5799,160,135,11
study2-understanding,5799,150,185,6
study2-understanding,5799,170,165,20
study2-understanding,5799,115,125,3
study2-understanding,5799,155,130,12
study2-understanding,5799,145,140,10
study2-understanding,5799,120,125,19
study2-understanding,5799,180,185,8
study2-understanding,5799,115,135,7
study2-understanding,5799,155,150,6
study2-understanding,5799,130,175,9
study2-understanding,3311,160,170,37
study2-understanding,3311,165,130,66
study2-understanding,3311,120,175,13
study2-understanding,3311,150,185,48
study2-understanding,3311,155,115,54
study2-understanding,3311,135,125,21
study2-understanding,3311,180,145,58
study2-understanding,3311,140,165,94
study2-understanding,3311,175,170,76
study2-understanding,3311,160,120,18
study2-understanding,3311,135,115,5
study2-understanding,3311,150,155,15
study2-understanding,3311,185,145,11
study2-understanding,6049,130,125,30
study2-understanding,6049,140,165,57
study2-understanding,6049,180,170,243
study2-understanding,6049,160,115,102
study2-understanding,6049,150,155,260
study2-understanding,6049,185,145,234
study2-understanding,6049,120,135,105
study2-understanding,6049,130,175,109
study2-understanding,6049,140,170,25
study2-understanding,6049,125,160,7
study2-understanding,6049,180,165,8
study2-understanding,6049,185,135,15
study2-understanding,6049,120,155,4
study2-understanding,6049,175,115,5
study2-understanding,6221,165,130,91
study2-understanding,6221,180,125,27
study2-understanding,6221,140,145,81
study2-understanding,6221,160,150,66
study2-understanding,6221,170,175,235
study2-understanding,6221,135,120,41
study2-understanding,6221,115,185,28
study2-understanding,6221,155,145,48
study2-understanding,5532,165,150,130
study2-understanding,5532,180,125,32
study2-understanding,5532,170,130,108
study2-understanding,5532,160,140,32
study2-understanding,5532,145,120,32
study2-understanding,5532,155,185,202
study2-understanding,5532,115,135,50
study2-understanding,5532,175,125,62
study2-understanding,5532,140,150,86
study2-understanding,5264,165,130,68
study2-understanding,5264,160,180,61
study2-understanding,5264,145,170,111
study2-understanding,5264,140,155,151
study2-understanding,5264,135,175,49
study2-understanding,5264,120,150,26
study2-understanding,5264,185,125,20
study2-understanding,5264,165,115,18
study2-understanding,5653,160,130,47
study2-understanding,5653,170,180,202
study2-understanding,5653,145,120,51
study2-understanding,5653,185,115,46
study2-understanding,5653,175,125,58
study2-understanding,5653,155,165,247
study2-understanding,5653,150,140,92
study2-understanding,5653,160,135,16
study2-understanding,5653,180,130,18
study2-understanding,5653,175,170,41
study2-understanding,5653,155,120,21
study2-understanding,5653,140,185,9
study2-understanding,5653,145,165,8
study2-understanding,5653,135,115,32
study2-understanding,5653,150,125,13
study2-understanding,5653,130,170,99
study2-understanding,5653,160,180,33
study2-understanding,5653,120,165,14
study2-understanding,5653,150,135,7
study2-understanding,5653,145,115,12
study2-understanding,5653,175,185,5
study2-understanding,5653,155,140,15
study2-understanding,5653,180,125,8
study2-understanding,5653,160,170,19
study2-understanding,5653,130,120,47
study2-understanding,5799,145,170,20
study2-understanding,5799,160,165,7
study2-understanding,5799,130,140,5
study2-understanding,5799,115,155,5
study2-understanding,5799,180,125,3
study2-understanding,5768,175,135,184
study2-understanding,5768,150,185,119
study2-understanding,5768,160,140,19
study2-understanding,5768,155,115,41
study2-understanding,5768,120,170,15
study2-understanding,5768,165,125,39
study2-understanding,5768,145,130,37
study2-understanding,5768,180,135,87
study2-understanding,5768,175,185,24
study2-understanding,5768,150,155,24
study2-understanding,5768,165,170,19
study2-understanding,5768,120,115,5
study2-understanding,5768,160,130,9
study2-understanding,5768,140,125,10
study2-understanding,5768,145,180,9
study2-understanding,5768,150,135,12
study2-understanding,5768,175,170,8
study2-understanding,5768,120,185,2
study2-understanding,5768,130,180,9
study2-understanding,5768,165,145,17
study2-understanding,5768,155,140,30
study2-understanding,5768,115,125,7
study2-understanding,5768,160,135,6
study2-understanding,5768,150,175,5
study2-understanding,5768,170,185,2
study2-understanding,5226,155,145,19
study2-understanding,5226,135,125,12
study2-understanding,5226,120,165,52
study2-understanding,5226,160,180,13
study2-understanding,5226,115,185,3
study2-understanding,5226,150,130,6
study2-understanding,5226,140,175,5
study2-understanding,5226,145,170,4
study2-understanding,5226,120,150,3
study2-understanding,5226,160,140,5
study2-understanding,5226,180,165,7
study2-understanding,5226,130,115,4
study2-understanding,5226,155,185,5
study2-understanding,5226,135,175,8
study2-understanding,5226,170,125,7
study2-understanding,5226,180,130,5
study2-understanding,5226,120,125,2
study2-understanding,5226,150,165,7
study2-understanding,5226,135,160,3
study2-understanding,5226,140,155,1
study2-understanding,5226,145,175,3
study2-understanding,5226,185,170,4
study2-understanding,5226,180,115,4
study2-understanding,5226,120,175,3
study2-understanding,5226,135,130,2
study2-understanding,5968,160,185,61
study2-understanding,5968,155,140,59
study2-understanding,5968,150,125,22
study2-understanding,5968,165,145,49
study2-understanding,5968,180,115,36
study2-understanding,5968,175,130,7
study2-understanding,5968,120,135,13
