judge,candidate_chosen,candidate_not_chosen
8,Zelfreflectie 2,Zelfreflectie 16
8,Zelfreflectie 10,Zelfreflectie 20
8,Zelfreflectie 22,Zelfreflectie 9
8,Zelfreflectie 4,Zelfreflectie 13
8,Zelfreflectie 7,Zelfreflectie 12
8,Zelfreflectie 2,Zelfreflectie 8
8,Zelfreflectie 19,Zelfreflectie 5
8,Zelfreflectie 3,Zelfreflectie 22
9,Zelfreflectie 4,Zelfreflectie 16
9,Zelfreflectie 18,Zelfreflectie 11
9,Zelfreflectie 6,Zelfreflectie 14
9,Zelfreflectie 1,Zelfreflectie 8
9,Zelfreflectie 21,Zelfreflectie 13
7,Zelfreflectie 16,Zelfreflectie 9
7,Zelfreflectie 9,Zelfreflectie 15
7,Zelfreflectie 10,Zelfreflectie 7
7,Zelfreflectie 4,Zelfreflectie 17
7,Zelfreflectie 20,Zelfreflectie 11
7,Zelfreflectie 12,Zelfreflectie 15
7,Zelfreflectie 18,Zelfreflectie 19
9,Zelfreflectie 3,Zelfreflectie 8
9,Zelfreflectie 6,Zelfreflectie 10
10,Zelfreflectie 20,Zelfreflectie 14
9,Zelfreflectie 17,Zelfreflectie 1
9,Zelfreflectie 19,Zelfreflectie 13
10,Zelfreflectie 2,Zelfreflectie 7
7,Zelfreflectie 22,Zelfreflectie 5
7,Zelfreflectie 16,Zelfreflectie 21
7,Zelfreflectie 9,Zelfreflectie 14
10,Zelfreflectie 15,Zelfreflectie 4
9,Zelfreflectie 3,Zelfreflectie 21
10,Zelfreflectie 14,Zelfreflectie 17
10,Zelfreflectie 15,Zelfreflectie 16
10,Zelfreflectie 10,Zelfreflectie 22
10,Zelfreflectie 11,Zelfreflectie 12
9,Zelfreflectie 2,Zelfreflectie 13
10,Zelfreflectie 9,Zelfreflectie 8
9,Zelfreflectie 6,Zelfreflectie 20
10,Zelfreflectie 18,Zelfreflectie 17
10,Zelfreflectie 1,Zelfreflectie 7
10,Zelfreflectie 4,Zelfreflectie 5
10,Zelfreflectie 19,Zelfreflectie 2
10,Zelfreflectie 1,Zelfreflectie 22
10,Zelfreflectie 9,Zelfreflectie 7
10,Zelfreflectie 6,Zelfreflectie 18
10,Zelfreflectie 13,Zelfreflectie 8
10,Zelfreflectie 11,Zelfreflectie 21
10,Zelfreflectie 10,Zelfreflectie 12
10,Zelfreflectie 20,Zelfreflectie 3
10,Zelfreflectie 16,Zelfreflectie 10
10,Zelfreflectie 16,Zelfreflectie 5
10,Zelfreflectie 1,Zelfreflectie 12
10,Zelfreflectie 3,Zelfreflectie 5
10,Zelfreflectie 7,Zelfreflectie 22
10,Zelfreflectie 20,Zelfreflectie 8
9,Zelfreflectie 2,Zelfreflectie 21
9,Zelfreflectie 19,Zelfreflectie 17
9,Zelfreflectie 4,Zelfreflectie 18
9,Zelfreflectie 2,Zelfreflectie 20
9,Zelfreflectie 13,Zelfreflectie 11
9,Zelfreflectie 6,Zelfreflectie 3
9,Zelfreflectie 9,Zelfreflectie 5
9,Zelfreflectie 14,Zelfreflectie 15
9,Zelfreflectie 12,Zelfreflectie 8
9,Zelfreflectie 16,Zelfreflectie 11
9,Zelfreflectie 15,Zelfreflectie 13
9,Zelfreflectie 4,Zelfreflectie 9
9,Zelfreflectie 19,Zelfreflectie 22
9,Zelfreflectie 1,Zelfreflectie 21
9,Zelfreflectie 6,Zelfreflectie 7
