study,judge,candidate_chosen,candidate_not_chosen
students-withsolutions1,68,19,13
students-withsolutions1,68,3,18
students-withsolutions1,69,10,6
students-withsolutions1,69,15,19
students-withsolutions1,69,8,11
students-withsolutions1,69,5,20
students-withsolutions1,70,4,12
students-withsolutions1,70,9,8
students-withsolutions1,70,18,2
students-withsolutions1,70,14,16
students-withsolutions1,70,7,14
students-withsolutions1,70,1,19
students-withsolutions1,70,8,17
students-withsolutions1,70,13,16
students-withsolutions1,70,10,17
students-withsolutions1,70,4,15
students-withsolutions1,70,11,3
students-withsolutions1,70,5,14
students-withsolutions1,70,20,14
students-withsolutions1,70,16,12
students-withsolutions1,70,6,9
students-withsolutions1,70,2,9
students-withsolutions1,70,10,7
students-withsolutions1,70,20,1
students-withsolutions1,70,5,13
students-withsolutions1,70,5,18
students-withsolutions1,71,2,15
students-withsolutions1,71,11,18
students-withsolutions1,71,2,3
students-withsolutions1,71,4,6
students-withsolutions1,71,1,12
students-withsolutions1,71,7,16
students-withsolutions1,71,1,17
students-withsolutions1,71,3,13
students-withsolutions1,71,10,13
students-withsolutions1,71,10,15
students-withsolutions1,71,11,15
students-withsolutions1,71,4,17
students-withsolutions1,71,20,18
students-withsolutions1,71,4,19
students-withsolutions1,71,8,12
students-withsolutions1,71,9,19
students-withsolutions1,71,12,6
students-withsolutions1,71,7,18
students-withsolutions1,71,10,11
students-withsolutions1,71,1,3
students-withsolutions1,69,4,5
students-withsolutions1,69,20,7
students-withsolutions1,69,19,8
students-withsolutions1,69,9,7
students-withsolutions1,69,7,6
students-withsolutions1,69,2,12
students-withsolutions1,69,16,4
students-withsolutions1,69,7,17
students-withsolutions1,69,10,14
students-withsolutions1,69,20,13
students-withsolutions1,69,8,15
students-withsolutions1,69,9,11
students-withsolutions1,69,3,12
students-withsolutions1,69,5,11
students-withsolutions1,69,8,6
students-withsolutions1,69,2,4
students-withsolutions1,74,16,18
students-withsolutions1,74,16,1
students-withsolutions1,74,19,17
students-withsolutions1,74,14,2
students-withsolutions1,74,11,13
students-withsolutions1,74,5,15
students-withsolutions1,74,3,9
students-withsolutions1,74,3,20
students-withsolutions1,74,15,6
students-withsolutions1,74,1,8
students-withsolutions1,74,14,17
students-withsolutions1,74,2,13
students-withsolutions1,74,18,6
students-withsolutions1,74,10,1
students-withsolutions1,74,5,19
students-withsolutions1,74,8,20
students-withsolutions1,74,12,11
students-withsolutions1,74,1,9
students-withsolutions1,74,16,11
students-withsolutions1,74,17,12
students-withsolutions1,75,3,14
students-withsolutions1,75,17,13
students-withsolutions1,75,18,4
students-withsolutions1,75,8,10
students-withsolutions1,75,15,18
students-withsolutions1,75,5,10
students-withsolutions1,75,17,20
students-withsolutions1,75,19,3
students-withsolutions1,75,9,4
students-withsolutions1,75,14,6
students-withsolutions1,75,2,17
students-withsolutions1,75,20,16
students-withsolutions1,75,7,3
students-withsolutions1,75,8,13
students-withsolutions1,75,9,15
students-withsolutions1,75,5,9
students-withsolutions1,75,19,18
students-withsolutions1,75,7,12
students-withsolutions1,75,19,6
students-withsolutions1,75,2,11
students-withsolutions1,76,15,16
students-withsolutions1,76,1,11
students-withsolutions1,76,14,1
students-withsolutions1,76,1,13
students-withsolutions1,76,18,10
students-withsolutions1,76,8,5
students-withsolutions1,76,4,20
students-withsolutions1,76,18,12
students-withsolutions1,76,20,6
students-withsolutions1,76,8,2
students-withsolutions1,76,8,16
students-withsolutions1,76,7,13
students-withsolutions1,76,18,14
students-withsolutions1,76,2,10
students-withsolutions1,76,17,15
students-withsolutions1,76,3,15
students-withsolutions1,76,5,1
students-withsolutions1,76,14,4
students-withsolutions1,76,19,12
students-withsolutions1,76,16,9
students-withsolutions1,77,6,13
students-withsolutions1,77,11,7
students-withsolutions1,77,10,12
students-withsolutions1,77,8,3
students-withsolutions1,77,5,17
students-withsolutions1,77,4,3
students-withsolutions1,77,20,19
students-withsolutions1,77,17,9
students-withsolutions1,77,5,6
students-withsolutions1,77,19,2
students-withsolutions1,77,17,16
students-withsolutions1,77,15,7
students-withsolutions1,77,14,15
students-withsolutions1,77,18,13
students-withsolutions1,77,10,20
students-withsolutions1,77,20,11
students-withsolutions1,77,10,4
students-withsolutions1,77,12,20
students-withsolutions1,77,9,12
students-withsolutions1,77,6,3
