judge,candidate_chosen,candidate_not_chosen,time_taken
crjQ3f6BsbXqwkqcK,Yt6mzQcy3Qejg82CQ,dgovLjAkHKactw8Te,4.735
aWSbAXGNHgzZsBTnz,dgovLjAkHKactw8Te,fxspS2SEz3Bv3LgYY,42.641
qH3PsB5bTfazu6C69,MFcor3aTKnq29A2W6,fxspS2SEz3Bv3LgYY,7.234
crjQ3f6BsbXqwkqcK,S2jRQuwxfrevH7NTy,fxspS2SEz3Bv3LgYY,21.549
fJC3QTuTKQCjPdtg7,FCwSmYgHBoASKQyD4,KuHzmmptLeDhhsWPx,77.923
qH3PsB5bTfazu6C69,yoQr5KJnZboZZXt3K,MFcor3aTKnq29A2W6,9.059
crjQ3f6BsbXqwkqcK,Yt6mzQcy3Qejg82CQ,ea5tYyskbe2hJxyBg,63.476
fGNbMkneyek8tyCG9,zoyLcsyuhL33JMGaA,Mc6NBSWC4NvRT3tBn,10.829
qH3PsB5bTfazu6C69,cvP4FRNexvEeDmSwW,yoQr5KJnZboZZXt3K,14.386
fGNbMkneyek8tyCG9,6gZgcNytec65SZGN7,yoQr5KJnZboZZXt3K,74.225
fJC3QTuTKQCjPdtg7,Mc6NBSWC4NvRT3tBn,KuHzmmptLeDhhsWPx,11.381
crjQ3f6BsbXqwkqcK,MFcor3aTKnq29A2W6,fxspS2SEz3Bv3LgYY,4.381
crjQ3f6BsbXqwkqcK,dgovLjAkHKactw8Te,fxspS2SEz3Bv3LgYY,6.679
crjQ3f6BsbXqwkqcK,Yt6mzQcy3Qejg82CQ,T5obF7dxiMLKmjcJJ,19.9
qH3PsB5bTfazu6C69,KuHzmmptLeDhhsWPx,ACEGpME2RJvXyuynF,6.629
fJC3QTuTKQCjPdtg7,Yt6mzQcy3Qejg82CQ,6gZgcNytec65SZGN7,4.64
qH3PsB5bTfazu6C69,zoyLcsyuhL33JMGaA,fxspS2SEz3Bv3LgYY,7.291
crjQ3f6BsbXqwkqcK,dgovLjAkHKactw8Te,zoyLcsyuhL33JMGaA,4.798
crjQ3f6BsbXqwkqcK,cvP4FRNexvEeDmSwW,dgovLjAkHKactw8Te,39.449
qH3PsB5bTfazu6C69,MFcor3aTKnq29A2W6,S2jRQuwxfrevH7NTy,22.635
fJC3QTuTKQCjPdtg7,Mc6NBSWC4NvRT3tBn,FCwSmYgHBoASKQyD4,8.36
