judge,candidate_chosen,candidate_not_chosen,time_taken
N1,C118.2 word,C103.2 word,33.9
N1,C91.1 word,C11.2 word,12.2
N1,256322-256314-22159528,C111.2 word,45
N1,256322-256314-22824807,C65.2 word,9.2
N1,256322-256314-22824794,C48.1 word,9.3
N1,C28.1 word,256322-256314-21787935,27.5
N1,C49.1 word,C29.1 word,32.7
N1,C45.1 word,C13.2 word,24.2
N1,C102.2 word,256322-256314-21787935,31.7
N1,C74.1 word,C42.2 word,17.8
N1,256322-256314-21787437,256322-256314-21847156,52.9
N1,256322-256314-22795338,C59.2 word,43.3
N1,C52.2 word,256322-256314-21787437,12
N1,C22.1 word,C109.2 word,13.4
N1,C115.2 word,C33.1 word,16.4
N1,C99.1 word,256322-256314-22039885,28
N1,C110.2 word,256322-256314-21839336,9
N1,C81.2 word,C90.1 word,14.3
N1,C74.2 word,256322-256314-22759029,27.1
N1,C13.2 word,C92.1 word,4.2
N1,C21.1 word,256322-256314-22067929,22.7
N1,C76.2 word,C116.1 word,24.1
N1,C113.1 word,C72.2 word,3
N1,C114.2 word,C42.1 word,12
N1,C104.2 word,C63.1 word,21.2
N1,256322-256314-21858879,C35.1 word,26.3
N1,C64.2 word,C99.2 word,5.1
N1,C120.1 word,C43.1 word,14.6
N1,C62.1 word,C93.1 word,17.5
N1,C83.2 word,C95.1 word,20.1
N1,256322-256314-22041283,256322-256314-22034228,17.2
N1,C77.1 word,C15.2 word,19.6
N1,C14.2 word,256322-256314-21787881,23.7
N1,C117.1 word,C45.2 word,11.4
N2,C30.1 word,C74.1 word,1.8
N2,256322-256314-22067929,C114.1 word,2.9
N2,256322-256314-22780604,C93.1 word,3.7
N2,256322-256314-22118172,C106.1 word,4.5
N2,C105.1 word,256322-256314-21851432,5
N2,256322-256314-22088225,C112.1 word,1.1
N2,C66.1 word,C113.2 word,1.4
N2,C58.2 word,C59.2 word,1.5
N2,C84.2 word,C3.2 word,1.5
N2,C63.1 word,C98.1 word,1.5
N2,256322-256314-22034134,C37.1 word,1.5
N2,C76.1 word,C48.1 word,1.6
N2,C61.2 word,C51.2 word,1.6
N2,C27.1 word,C101.2 word,1.6
N2,C45.2 word,C64.1 word,1.7
N2,C47.2 word,C50.1 word,2.1
N2,C105.2 word,256322-256314-22114669,2.4
N2,C26.2 word,256322-256314-22759029,2.5
N2,C25.2 word,C58.2 word,2.5
N2,C65.1 word,C30.1 word,2.7
N2,256322-256314-21788390,256322-256314-21799725,2.9
N2,C115.2 word,C47.2 word,3.1
N2,C105.1 word,C76.2 word,4.7
N2,C80.2 word,C76.2 word,4.8
N2,C12.2 word,C41.1 word,5.5
N2,C109.1 word,C107.1 word,5.7
N2,256322-256314-21853772,C97.1 word,6.4
N2,C116.1 word,C12.2 word,1
N2,C75.1 word,C44.1 word,1.3
N2,C52.1 word,256322-256314-22041283,1.4
N2,C75.2 word,C38.1 word,1.4
N2,C26.1 word,256322-256314-21788344,1.8
N2,256322-256314-21800794,C44.2 word,2
N2,256322-256314-21788135,C30.1 word,2.3
N2,256322-256314-22466548,256322-256314-21855861,2.4
N2,C112.2 word,C2.2 word,3.3
N2,C85.1 word,256322-256314-22039322,3.3
N2,256322-256314-22780844,256322-256314-21848795,3.3
N2,C14.2 word,C9.2 word,4
N2,C18.1 word,C115.1 word,4
N2,256322-256314-22824807,256322-256314-21849538,4.3
N2,C72.1 word,C73.2 word,4.9
N2,C41.2 word,C43.2 word,5.1
N2,C34.1 word,256322-256314-22114669,5.2
N2,256322-256314-22067929,C83.2 word,6.6
N2,C83.2 word,C49.1 word,253.3
N2,C58.1 word,256322-256314-22159528,1.4
N2,C119.1 word,C35.1 word,2.7
N2,C83.1 word,C64.2 word,3
N2,C19.1 word,C23.2 word,3
N2,C61.2 word,C63.1 word,5.4
N2,256322-256314-22039885,C11.2 word,7.5
N2,C79.2 word,C51.1 word,11.1
N2,C16.1 word,C28.1 word,2.3
N2,C25.1 word,C85.1 word,2.6
N2,C42.1 word,C22.1 word,3.6
N2,C54.2 word,C29.1 word,4.1
N2,C103.2 word,256322-256314-22039885,4.3
N2,C113.1 word,C85.1 word,4.9
N2,C86.1 word,C33.1 word,6.7
N2,C30.1 word,C3.2 word,6.8
N2,C84.1 word,C92.1 word,7.1
N2,C47.2 word,C83.1 word,256.5
N2,C60.2 word,C47.2 word,1.5
N2,C27.1 word,C57.1 word,1.9
N2,C46.2 word,256322-256314-22824745,5.6
N2,C104.2 word,C89.1 word,15.5
N2,C55.1 word,C25.2 word,42.6
N2,C52.2 word,C107.1 word,1.4
N2,C21.1 word,C59.1 word,1.4
N2,C12.2 word,C42.2 word,1.4
N2,C43.2 word,256322-256314-22034134,1.4
N2,C66.1 word,C68.1 word,1.5
N2,256322-256314-22052022,256322-256314-21788277,1.6
N2,C15.2 word,C117.1 word,1.9
N2,C37.1 word,C83.2 word,1.9
N2,C44.1 word,C74.2 word,2.4
N2,C82.1 word,256322-256314-22824807,4
N2,C69.2 word,C16.1 word,4.2
N2,256322-256314-22088225,256322-256314-22824759,5.2
N2,C106.1 word,C64.1 word,6.2
N2,C76.1 word,C45.2 word,7.9
N2,C101.2 word,256322-256314-22779100,9.8
N2,C15.2 word,C98.1 word,58.9
N2,C72.2 word,256322-256314-22780604,1.7
N2,256322-256314-21853772,C110.2 word,3.1
N2,C41.2 word,C106.1 word,1.4
N2,256322-256314-22779100,C22.2 word,1.4
N2,C55.1 word,C58.1 word,1.4
N2,256322-256314-21847713,C65.1 word,1.4
N2,C84.2 word,256322-256314-22094276,1.7
N2,C77.1 word,256322-256314-21950198,1.7
N2,C107.1 word,C25.1 word,1.8
N2,C69.2 word,C57.1 word,4.2
N2,C19.1 word,256322-256314-21800794,5.4
N2,C13.2 word,C50.1 word,389.1
N2,C113.2 word,256322-256314-22118172,265
N2,256322-256314-21848795,C81.2 word,2.1
N2,256322-256314-22039885,C112.1 word,95.4
N2,C62.1 word,C80.2 word,10.7
N2,C52.1 word,256322-256314-21847713,1.4
N2,C114.1 word,C59.1 word,1.4
N2,C89.1 word,256322-256314-21860772,1.5
N2,C19.1 word,C46.2 word,3.5
N2,256322-256314-22824759,256322-256314-21855861,4.5
N2,C41.2 word,C2.2 word,4.6
